"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"31",31,"Judson College","Marion","AL","36756","0.8155","510","23","0.125",NA,NA,NA,"0.1429",NA,NA,"0.0357",NA,"0.3731","PrivacySuppressed","32900","PrivacySuppressed","NULL",1
"33",33,"University of West Alabama","Livingston","AL","35470","0.4856","NULL","23","0.2137834037",NA,NA,"0.0648","0.0567","0.0162",NA,"0.0121",NA,"0.3438","33700","39600","41700","NULL",1
"36",36,"Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.1675062972","0.045",NA,NA,"0.0991","0.009",NA,"0.0045",NA,"0.1534","26200","30400","33300","NULL",1
"37",37,"University of Mobile","Mobile","AL","36613-2842","0.8035","690","24","0.4178403756","0.0067",NA,NA,"0.0133","0.0033",NA,NA,NA,"0.4266","36000","40000","38600","NULL",1
"38",38,"University of Montevallo","Montevallo","AL","35115-6000","0.7772","605","24","0.4006622517",NA,NA,NA,"0.0353","0.0327",NA,"0.0025",NA,"0.4701","34600","36300","37700","NULL",1
"40",40,"University of North Alabama","Florence","AL","35632-0001","0.8847","535","23","0.3320950966","0.0011",NA,NA,"0.0319","0.0021",NA,"0.0255",NA,"0.3229","36800","40700","41800","NULL",1
"42",42,"Oakwood University","Huntsville","AL","35896","0.3169","500","20","0.1982142857","0.019",NA,NA,"0.1238","0.0286",NA,"0.0063",NA,"0.3821","35500","39200","42700","NULL",1
"47",47,"Samford University","Birmingham","AL","35229-2240","0.7563","630","27","0.6134969325","0.0101",NA,NA,"0.0438","0.0118",NA,"0.0084",NA,"0.7143","66000","63100","49200","NULL",1
"48",48,"Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.4492","NULL","NULL","NULL","NULL",1
"51",51,"University of South Alabama","Mobile","AL","36688-0002","0.8719","580","25","0.3051391863","0.0231","0.0635",NA,"0.0597","0.0043",NA,"0.0204",NA,"0.3683","43100","43800","46200","NULL",1
"52",52,"Spring Hill College","Mobile","AL","36608-1791","0.4743","600","26","0.4290030211",NA,NA,NA,"0.1045","0.0112",NA,"0.0112",NA,"0.6174","44600","47100","53000","NULL",1
"53",53,"Southeastern Bible College","Birmingham","AL","35244-2083","1","NULL","17","0.3064516129",NA,NA,NA,NA,NA,NA,NA,NA,"0.3333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"54",54,"Stillman College","Tuscaloosa","AL","35401","0.4095","502","19","0.2266112266",NA,NA,NA,"0.1778",NA,NA,NA,NA,"0.2518","25400","30900","34400","NULL",1
"55",55,"Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2086614173","0.0353",NA,NA,"0.1529","0.0235",NA,"0.0235",NA,"0.2529","26500","PrivacySuppressed","PrivacySuppressed","NULL",1
"57",57,"Troy University","Troy","AL","36082-0001","0.6229","NULL","23","0.194954955","0.044",NA,"0.0035","0.0167","0.0063",NA,"0.0044",NA,"0.3445","34700","42300","44300","NULL",1
"58",58,"Tuskegee University","Tuskegee","AL","36088-1920","0.6451","500","22","0.3894878706","0.0254","0.1215",NA,"0.1102",NA,NA,"0.0254",NA,"0.4593","37500","43400","46300","NULL",1
"59",59,"United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.3728813559",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"61",61,"University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.2395833333","0.0326","0.0305","0.0641","0.016","0.0047",NA,"0.0057","0.0088","0.2561","42700","48300","51700","NULL",1
"62",62,"Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.5","NULL","NULL","NULL","NULL",1
"63",63,"University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.207780725","0.014","0.0851","0.031","0.034","0.007",NA,"0.024","0.002","0.3093","37300","44200","47100","NULL",1
"64",64,"University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1705882353","0.0126","0.022","0.0031","0.022","0.0063",NA,NA,NA,"0.1079","34300","44000","42900","NULL",1
"65",65,"Alaska Pacific University","Anchorage","AK","99508","0.6323","500","25","0.4418604651",NA,NA,NA,"0.1613",NA,NA,"0.0108",NA,"0.5179","PrivacySuppressed","53300","PrivacySuppressed","NULL",1
"67",67,"Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.596321394","0.0949",NA,"0.0333",NA,NA,NA,NA,NA,"0.3357","33000","48100","55900","NULL",1
"70",70,"Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.2510129269",NA,NA,NA,NA,NA,NA,NA,NA,"0.3639","28100","PrivacySuppressed","PrivacySuppressed","NULL",1
"71",71,"Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2459415584","0.0667",NA,NA,NA,NA,NA,NA,NA,"0.3802","25500","33000","38200","NULL",1
"74",74,"Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"75",75,"American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.4167","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"77",77,"Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.7062561095",NA,NA,NA,NA,NA,NA,NA,NA,"0.6501","24800","31400","32600","NULL",1
"80",80,"CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.4481865285","0.0408",NA,NA,NA,NA,NA,NA,NA,"0.4667","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"83",83,"Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.5461538462",NA,NA,NA,NA,NA,NA,NA,NA,"0.5652","22100","27700","35300","NULL",1
"84",84,"Arizona State University-Tempe","Tempe","AZ","85287","0.8891","630","27","0.5180540022","0.0193","0.0503","0.0048","0.0557","0.008",NA,"0.006","0.0076","0.5683","49000","52800","54500","NULL",1
"86",86,"University of Arizona","Tucson","AZ","85721-0066","0.7139","620","NULL","0.4668314009","0.0146","0.0457","0.0198","0.0877","0.0123",NA,"0.0205","0.0009","0.6128","50000","52000","57100","NULL",1
"87",87,"Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.1757575758",NA,NA,NA,NA,NA,NA,NA,NA,"0.8333","28800","32700","34300","NULL",1
"90",90,"Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.3532781668","0.0593",NA,"0.1992",NA,NA,NA,NA,NA,"0.4324","27700","PrivacySuppressed","PrivacySuppressed","NULL",1
"96",96,"DeVry University-Arizona","Phoenix","AZ","85021-2995","0.8131","NULL","NULL","0.1516278553","0.2286","0.0762","0.1873",NA,NA,NA,NA,NA,"0.3395","44100","52500","61100","NULL",1
"99",99,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.8234","630","28","0.3634417808","0.0029","0.3152",NA,NA,NA,NA,"0.0659",NA,"0.5509","64900","65100","66600","NULL",1
"100",100,"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"102",102,"Grand Canyon University","Phoenix","AZ","85017","0.3237","NULL","NULL","0.1182607427",NA,NA,NA,"0.0152",NA,NA,NA,NA,"0.3134","42600","49800","57000","NULL",1
"103",103,"Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.6848958333","0.0146",NA,"0.0146",NA,NA,NA,NA,NA,"0.4607","26700","33500","36000","NULL",1
"108",108,"ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.8327","NULL","NULL","0.3187633262","0.3065",NA,"0.3618",NA,NA,NA,NA,NA,"0.1803","38200","46300","47200","NULL",1
"109",109,"ITT Technical Institute-Tempe","Tempe","AZ","85282","0.9171","NULL","NULL","0.3187633262","0.3021",NA,"0.3191",NA,NA,NA,NA,NA,"0.3279","38200","46300","47200","NULL",1
"112",112,"Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","0.073800738",NA,NA,NA,"0.0298",NA,NA,NA,NA,"0.052","21800","PrivacySuppressed","PrivacySuppressed","NULL",1
"113",113,"Northern Arizona University","Flagstaff","AZ","86011-4092","0.7632","590","26","0.4425953234","0.0048","0.0314",NA,"0.0475","0.0048",NA,"0.0222","0.0371","0.4915","41300","43000","45800","NULL",1
"115",115,"Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.2869910626","0.0139",NA,NA,"0.0105","0.0035",NA,NA,NA,"NULL","40300","43400","50000","NULL",1
"118",118,"University of Phoenix-Phoenix Campus","Tempe","AZ","85282-2371","NULL","NULL","NULL","0.1884355238","0.0688",NA,NA,NA,NA,NA,NA,NA,"0.1502","42700","54400","75800","NULL",1
"120",120,"Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.7564818794",NA,NA,NA,NA,NA,NA,NA,NA,"0.713","27100","33800","37000","NULL",1
"122",122,"Prescott College","Prescott","AZ","86301","0.8147","590","24","0.2032258065",NA,NA,NA,"0.0644",NA,NA,NA,NA,"0.4464","31900","36300","35800","NULL",1
"129",129,"Arizona Christian University","Phoenix","AZ","85032-7097","0.7129","578","24","0.3161764706",NA,NA,NA,NA,NA,NA,NA,NA,"0.5091","PrivacySuppressed","33200","PrivacySuppressed","NULL",1
"132",132,"Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.206959707","0.0674",NA,NA,NA,NA,NA,NA,NA,"0.0407","41900","55500","66900","NULL",1
"135",135,"University of Arkansas at Little Rock","Little Rock","AR","72204","0.9946","590","25","0.2607952116","0.0229","0.0243","0.0398","0.0358","0.0067",NA,"0.0142",NA,"0.204","34400","39400","43700","NULL",1
"136",136,"University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7543103448",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","62000","68000","80900","NULL",1
"138",138,"Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.1163434903",NA,NA,NA,NA,NA,NA,NA,NA,"0.0714","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"141",141,"Lyon College","Batesville","AR","72501","0.6231","610","27","0.5128205128","0.04",NA,NA,"0.14","0.1",NA,NA,NA,"0.4844","36700","40400","46800","NULL",1
"144",144,"University of Arkansas","Fayetteville","AR","72701","0.6347","630","28","0.4516708588","0.0102","0.0907",NA,"0.0518","0.008",NA,"0.031",NA,"0.6035","45800","50300","51100","NULL",1
"145",145,"University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.3278","470","18","0.2198347107","0.0239",NA,"0.0651","0.0694","0.0043",NA,"0.0282",NA,"0.2776","28100","32400","35300","NULL",1
"147",147,"Arkansas State University-Main Campus","Jonesboro","AR","72401","0.7056","555","25","0.3447877563","0.0153","0.0181","0.0076","0.0258","0.0067",NA,"0.0153",NA,"0.3954","31000","37800","44000","NULL",1
"148",148,"Arkansas Tech University","Russellville","AR","72801-2222","0.88","580","25","0.3792569659","0.0169","0.0353","0.0218","0.0169","0.0054",NA,"0.0103",NA,"0.4095","34400","37700","42300","NULL",1
"149",149,"University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1743638077",NA,NA,"0.0515","0.0178","0.0079",NA,"0.003",NA,"0.2667","31500","36500","40600","NULL",1
"153",153,"University of Central Arkansas","Conway","AR","72035-0001","0.9291","NULL","25","0.3315363881","0.0101",NA,NA,"0.0545","0.0114",NA,"0.0139",NA,"0.4082","34900","41400","45800","NULL",1
"154",154,"Central Baptist College","Conway","AR","72034","0.45","490","23","0.1947368421","0.084",NA,NA,"0.0229",NA,"0.0076",NA,NA,"0.299","PrivacySuppressed","36600","PrivacySuppressed","NULL",1
"156",156,"Crowley's Ridge College","Paragould","AR","72450","NULL","NULL","NULL","0.1940298507",NA,NA,NA,NA,NA,NA,NA,NA,"0.4237","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"163",163,"Harding University","Searcy","AR","72143","0.7465","570","27","0.4593088071","0.0526","0.0194",NA,"0.0491","0.0023",NA,"0.0046",NA,"0.6071","44400","40500","45100","NULL",1
"164",164,"Henderson State University","Arkadelphia","AR","71999-0001","0.6148","520","24","0.2050113895","0.0078",NA,NA,"0.0544","0.0058",NA,"0.0214",NA,"0.3573","35600","38800","41000","NULL",1
"165",165,"Hendrix College","Conway","AR","72032-3080","0.8297","670","31","0.4259259259","0.0129",NA,NA,"0.1942","0.0065",NA,"0.0712",NA,"0.7172","46400","46000","46600","NULL",1
"168",168,"John Brown University","Siloam Springs","AR","72761","0.6462","620","26","0.5168067227",NA,"0.033","0.0022","0.044","0.0022",NA,"0.0022",NA,"0.681","43700","53100","62500","NULL",1
"179",179,"Ouachita Baptist University","Arkadelphia","AR","71998-0001","0.691","570","27","0.487804878","0.0096","0.0032",NA,"0.1019","0.0127",NA,"0.0446",NA,"0.5886","41400","37700","45600","NULL",1
"182",182,"University of the Ozarks","Clarksville","AR","72830","0.9096","553","25","0.3192771084",NA,NA,NA,"0.1321","0.0283",NA,"0.0283",NA,"0.4756","29100","38400","45000","NULL",1
"184",184,"Philander Smith College","Little Rock","AR","72202-3799","NULL","NULL","NULL","0.3136363636","0.042",NA,NA,"0.1176","0.0252",NA,"0.0252",NA,"0.3067","24900","PrivacySuppressed","PrivacySuppressed","NULL",1
"194",194,"Williams Baptist College","Walnut Ridge","AR","72476","0.6259","NULL","24","0.3081081081",NA,NA,NA,"0.0594",NA,NA,NA,NA,"0.4297","32300","36700","34100","NULL",1
"196",196,"Southern Arkansas University Main Campus","Magnolia","AR","71753","0.6458","550","24","0.3422053232","0.0036",NA,"0.0073","0.0473","0.0036",NA,"0.0327",NA,"0.3316","35100","37900","45700","NULL",1
"199",199,"University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","0.5434","580","24","0.2417400881","0.0416",NA,"0.0204","0.0238","0.0008",NA,"0.0017",NA,"0.2266","31100","35400","42800","NULL",1
"200",200,"Academy of Art University","San Francisco","CA","94105","NULL","NULL","NULL","0.1002872813","0.0526",NA,NA,NA,NA,NA,NA,NA,"0.3154","39800","48200","48100","NULL",1
"201",201,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034","0.5683","NULL","NULL","0.3187633262","0.345",NA,"0.3755",NA,NA,NA,NA,NA,"0.3333","38200","46300","47200","NULL",1
"202",202,"Academy of Chinese Culture and Health Sciences","Oakland","CA","94612","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"208",208,"American Baptist Seminary of the West","Berkeley","CA","94704-3029","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"209",209,"American Film Institute Conservatory","Los Angeles","CA","90027-1625","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"212",212,"American Conservatory Theater","San Francisco","CA","94108-5834","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"216",216,"Art Center College of Design","Pasadena","CA","91103","0.8111","NULL","NULL","0.5294117647",NA,NA,NA,NA,NA,NA,NA,NA,"0.697","57400","63900","65100","NULL",1
"219",219,"Azusa Pacific University","Azusa","CA","91702-7000","0.7597","610","NULL","0.1511412708","0.0118",NA,NA,"0.0201","0.0035",NA,"0.0035",NA,"0.6324","48900","53900","54800","NULL",1
"224",224,"Bethesda University","Anaheim","CA","92801","0.8182","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.8148","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"225",225,"Biola University","La Mirada","CA","90639-0001","0.7466","620","NULL","0.575257732","0.01","0.0011",NA,"0.029","0.0056",NA,"0.0056",NA,"0.6245","44200","44300","49300","NULL",1
"226",226,"Brooks Institute","Ventura","CA","93001","0.9863","NULL","NULL","0.4426751592",NA,NA,NA,NA,NA,NA,NA,NA,"0.453","31000","33900","37500","NULL",1
"228",228,"Bryan University","Los Angeles","CA","90010","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.1489","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"230",230,"Phillips Graduate Institute","Chatsworth","CA","91311","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"231",231,"California Institute of Integral Studies","San Francisco","CA","94103","NULL","NULL","NULL","0.7450980392",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"233",233,"California Baptist University","Riverside","CA","92504-3297","0.7326","550","24","0.2328502415",NA,"0.0352",NA,"0.0242","0.0073",NA,"0.0012",NA,"0.5885","37800","43000","48800","NULL",1
"234",234,"California College of the Arts","San Francisco","CA","94107-2247","0.8318","610","28","0.4717607973",NA,NA,NA,NA,NA,NA,NA,NA,"0.4505","44400","48800","43800","NULL",1
"235",235,"University of California-Hastings College of Law","San Francisco","CA","94102-4978","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","113200","PrivacySuppressed","PrivacySuppressed","NULL",1
"236",236,"California Institute of Technology","Pasadena","CA","91125","0.1277","800","36","0.5357142857","0.1164","0.4353",NA,"0.1034","0.0991",NA,"0.2284",NA,"0.919","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"237",237,"California Lutheran University","Thousand Oaks","CA","91360-2787","0.4726","610","27","0.5388272583","0.0397","0.0044",NA,"0.05","0.0074",NA,"0.0235",NA,"0.6005","51600","48700","60300","NULL",1
"238",238,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407","0.374","690","31","0.5814581458","0.0205","0.268","0.0094","0.0566","0.0097",NA,"0.0175",NA,"0.7221","65600","64600","69700","NULL",1
"239",239,"Alliant International University-San Diego","San Diego","CA","92131","0.4444","NULL","NULL","0.9322033898",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","59200","62900","61900","NULL",1
"240",240,"California State University-Bakersfield","Bakersfield","CA","93311-1099","0.6695","520","22","0.3373243103","0.0168","0.0007",NA,"0.0255","0.0148",NA,"0.0302",NA,"0.3864","44500","50400","51800","NULL",1
"241",241,"California State University-Stanislaus","Turlock","CA","95382-0299","0.7663","530","23","0.1556503198","0.0206",NA,NA,"0.054","0.0122",NA,"0.0206",NA,"0.487","44200","45000","47700","NULL",1
"242",242,"California State University-San Bernardino","San Bernardino","CA","92407-2397","0.582","510","22","0.4279713368","0.0127","0.0023",NA,"0.0201","0.0188",NA,"0.0184",NA,"0.4352","44500","47300","48500","NULL",1
"243",243,"California State Polytechnic University-Pomona","Pomona","CA","91768","0.5509","620","27","0.3387372014","0.0228","0.1635","0.0223","0.0576","0.0147",NA,"0.0127",NA,"0.508","53300","54500","57500","NULL",1
"244",244,"California State University-Chico","Chico","CA","95929-0150","0.7399","570","25","0.4133196018","0.0342","0.0557","0.0521","0.0188","0.0084",NA,"0.0104",NA,"0.572","47700","49200","54700","NULL",1
"245",245,"California State University-Dominguez Hills","Carson","CA","90747-0005","0.5314","470","20","0.308411215","0.0105",NA,"0.0009","0.0175","0.0096",NA,"0.0044",NA,"0.2764","42700","46600","56300","NULL",1
"246",246,"California State University-Fresno","Fresno","CA","93740","0.6041","530","24","0.3709483794","0.0041","0.0369","0.0253","0.0224","0.0058",NA,"0.018",NA,"0.4806","44700","46900","51000","NULL",1
"247",247,"California State University-Fullerton","Fullerton","CA","92831-3599","0.4669","570","25","0.4170326223","0.0059","0.0165",NA,"0.0257","0.0064",NA,"0.0059",NA,"0.5115","47300","51400","49400","NULL",1
"248",248,"California State University-East Bay","Hayward","CA","94542","0.3571","510","22","0.3288659794","0.0189","0.0044",NA,"0.043","0.0104",NA,"0.0052",NA,"0.4098","52600","57900","58500","NULL",1
"249",249,"California State University-Long Beach","Long Beach","CA","90840-0115","0.3038","590","25","0.4620123203","0.0071","0.0494","0.01","0.0404","0.0066",NA,"0.0044",NA,"0.5692","49800","50900","51200","NULL",1
"250",250,"California State University-Los Angeles","Los Angeles","CA","90032","0.6942","510","21","0.2655662349","0.0174","0.0397","0.0107","0.0317","0.012",NA,"0.0063",NA,"0.3651","44400","48200","53600","NULL",1
"251",251,"California State University-Northridge","Northridge","CA","91330","0.6225","530","23","0.4005508843","0.015","0.0267","0.0034","0.0374","0.0049",NA,"0.004",NA,"0.4802","46400","47200","49100","NULL",1
"252",252,"California State University-Sacramento","Sacramento","CA","95819-2694","0.671","540","24","0.2967764541","0.008","0.0393","0.0037","0.0311","0.0053",NA,"0.0123",NA,"0.4143","48000","50300","53500","NULL",1
"253",253,"University of California-Berkeley","Berkeley","CA","94720","0.2161","770","34","0.5008272276","0.0121","0.122",NA,"0.1172","0.0356",NA,"0.032",NA,"0.9068","73000","72500","76800","NULL",1
"254",254,"University of California-Davis","Davis","CA","95616-8678","0.4826","690","31","0.6218905473","0.0089","0.088",NA,"0.2004","0.0108",NA,"0.0316",NA,"0.8125","67200","66200","64600","NULL",1
"255",255,"University of California-Irvine","Irvine","CA","92697","0.4746","680","29","0.603946102","0.0288","0.082",NA,"0.1554","0.0124",NA,"0.034",NA,"0.8562","60800","59200","61400","NULL",1
"256",256,"University of California-Los Angeles","Los Angeles","CA","90095-1405","0.2711","740","33","0.7276379784","0.0134","0.0835",NA,"0.1549","0.0465",NA,"0.017",NA,"0.9151","73100","70000","74500","NULL",1
"257",257,"University of California-Riverside","Riverside","CA","92521","0.6816","630","26","0.5442467913","0.0119","0.049",NA,"0.1351","0.0181",NA,"0.0183",NA,"0.6631","50300","51000","52400","NULL",1
"258",258,"University of California-San Diego","La Jolla","CA","92093","0.3535","710","32","0.5768739353","0.028","0.1076",NA,"0.2294","0.0199",NA,"0.0378",NA,"0.8625","70400","68300","69400","NULL",1
"259",259,"University of California-San Francisco","San Francisco","CA","94143-0244","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","140600","PrivacySuppressed","PrivacySuppressed","NULL",1
"260",260,"University of California-Santa Barbara","Santa Barbara","CA","93106","0.4631","680","30","0.6221384325","0.0159","0.0364",NA,"0.0836","0.0185",NA,"0.0252",NA,"0.8022","56800","56700","60100","NULL",1
"261",261,"University of California-Santa Cruz","Santa Cruz","CA","95064-1011","0.6729","640","27","0.6571774682","0.0332","0.0221",NA,"0.1321","0.0151",NA,"0.0384",NA,"0.7448","46800","48600","51400","NULL",1
"262",262,"Sofia University","Palo Alto","CA","94303","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
