"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"17",17,"Faulkner University","Montgomery","AL","36109-3390","0.5802","472","23","0.1915641476","0.0112",NA,NA,"0.0064",NA,NA,NA,NA,"0.3333","34200","46200","57700","63600",1
"23",23,"Herzing University-Birmingham","Birmingham","AL","35209","0.979","NULL","NULL","0.3236057069","0.0687",NA,"0.103",NA,NA,NA,NA,NA,"0.1136","40100","44300","47900","58300",1
"24",24,"Huntingdon College","Montgomery","AL","36106-2148","0.6199","558","23","0.4595375723",NA,NA,NA,"0.113","0.0209",NA,"0.0209",NA,"0.5189","38300","39400","42600","54500",1
"25",25,"Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"27",27,"Jacksonville State University","Jacksonville","AL","36265","0.8365","520","24","0.2805194805","0.0131",NA,"0.0222","0.0419","0.009",NA,"0.0074",NA,"0.3152","34000","38000","39000","53800",1
"31",31,"Judson College","Marion","AL","36756","0.7435","510","23","0.2604166667",NA,NA,NA,"0.3",NA,NA,"0.05",NA,"0.3797","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38500",1
"33",33,"University of West Alabama","Livingston","AL","35470","0.6756","660","22","0.2075736325",NA,NA,"0.032","0.028","0.032",NA,"0.016",NA,"0.2978","33200","38600","41300","58500",1
"36",36,"Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.1463414634","0.0152",NA,NA,"0.1371","0.0203",NA,"0.0102",NA,"0.1954","26700","31900","32100","41300",1
"37",37,"University of Mobile","Mobile","AL","36613-2842","0.8065","577","22","0.4265129683",NA,NA,NA,"0.0143","0.0072",NA,NA,NA,"0.428","37100","43300","43900","60600",1
"38",38,"University of Montevallo","Montevallo","AL","35115-6000","0.757","605","28","0.4136690647",NA,NA,NA,"0.0572","0.0183",NA,"0.016",NA,"0.4342","32300","39500","36700","45100",1
"40",40,"University of North Alabama","Florence","AL","35632-0001","0.8764","535","23","0.3342036554","0.0055",NA,NA,"0.0439","0.0055",NA,"0.0164",NA,"0.2739","35700","41300","42400","54700",1
"42",42,"Oakwood University","Huntsville","AL","35896","0.4355","493","21","0.2008547009","0.0038",NA,NA,"0.2099","0.0153",NA,"0.0038",NA,"0.3498","33100","39600","45600","52100",1
"47",47,"Samford University","Birmingham","AL","35229-2240","0.8258","640","27","0.6268980477","0.0086",NA,NA,"0.0567","0.0086",NA,"0.0052",NA,"0.7024","73000","55200","49500","73500",1
"48",48,"Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.5566","NULL","NULL","NULL","PrivacySuppressed",1
"51",51,"University of South Alabama","Mobile","AL","36688-0002","0.8726","560","24","0.2966002345","0.0222","0.0612",NA,"0.0601","0.006",NA,"0.0325",NA,"0.3823","43100","45500","48600","64100",1
"52",52,"Spring Hill College","Mobile","AL","36608-1791","0.4854","588","26","0.4146341463",NA,"0.0039",NA,"0.1216","0.0157",NA,NA,NA,"0.6095","47900","48100","52400","62100",1
"53",53,"Southeastern Bible College","Birmingham","AL","35244-2083","1","680","20","0.2873563218",NA,NA,NA,NA,NA,NA,NA,NA,"0.2941","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"54",54,"Stillman College","Tuscaloosa","AL","35401","0.4647","475","18","0.1995073892",NA,NA,NA,"0.1845",NA,NA,NA,NA,"0.3447","26400","29000","34300","43400",1
"55",55,"Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2222222222","0.0373",NA,NA,NA,NA,NA,"0.0075",NA,"0.2","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35600",1
"57",57,"Troy University","Troy","AL","36082-0001","0.7147","NULL","22","0.210031348","0.0439",NA,"0.0056","0.0128","0.0091",NA,"0.0028",NA,"0.318","35300","43800","44000","60300",1
"58",58,"Tuskegee University","Tuskegee","AL","36088-1920","0.641","490","22","0.2780487805","0.0127","0.1544",NA,"0.1063","0.0101",NA,"0.0253",NA,"0.4301","38800","44100","45700","65900",1
"59",59,"United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.2580645161",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"61",61,"University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.1959183673","0.0212","0.0269","0.0817","0.0217","0.0088",NA,"0.0088","0.0088","0.2562","41300","48300","51300","77600",1
"62",62,"Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,"0.5","NULL","NULL","NULL","NULL",1
"63",63,"University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.2251082251","0.0077","0.0958","0.0407","0.0485","0.0066",NA,"0.0176","0.0011","0.2632","40000","44900","50700","67300",1
"64",64,"University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1762589928","0.0111","0.0037","0.0222","0.0519","0.0111",NA,NA,NA,"0.2125","39400","44700","42000","60600",1
"65",65,"Alaska Pacific University","Anchorage","AK","99508","0.3261","560","26","0.406779661",NA,NA,NA,"0.1333",NA,NA,"0.0111",NA,"0.4615","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","68900",1
"67",67,"Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.4385964912","0.2221",NA,"0.0432",NA,NA,NA,NA,NA,"0.9375","37400","50600","PrivacySuppressed","67400",1
"70",70,"Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.2594936709",NA,NA,NA,NA,NA,NA,NA,NA,"0.4123","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44400",1
"71",71,"Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2269736842",NA,NA,NA,NA,NA,NA,NA,NA,"0.4066","25000","31100","36700","47400",1
"74",74,"Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","169300",1
"75",75,"American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.625","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"77",77,"Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.7124201973",NA,NA,NA,NA,NA,NA,NA,NA,"0.6841","25400","33400","34100","44300",1
"80",80,"CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.3732057416","0.2",NA,NA,NA,NA,NA,NA,NA,"0.6069","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37900",1
"83",83,"Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.5407512403",NA,NA,NA,NA,NA,NA,NA,NA,"0.651","22800","27400","PrivacySuppressed","38200",1
"84",84,"Arizona State University-Tempe","Tempe","AZ","85287","0.8664","620","27","0.5089969549","0.0191","0.0465","0.0051","0.0521","0.0073",NA,"0.0059","0.0057","0.5747","49300","52600","55400","70000",1
"86",86,"University of Arizona","Tucson","AZ","85721-0066","0.7536","620","NULL","0.4776297475","0.0105","0.0433","0.0223","0.0946","0.0123",NA,"0.0218","0.0011","0.6137","48800","52600","57900","69600",1
"87",87,"Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.1770334928",NA,NA,NA,NA,NA,NA,NA,NA,"0.8","26000","33400","PrivacySuppressed","44500",1
"90",90,"Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.3678290214","0.1267",NA,"0.1467",NA,NA,NA,NA,NA,"0.2222","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47100",1
"96",96,"DeVry University-Arizona","Phoenix","AZ","85021-2995","0.9188","NULL","NULL","0.126394998","0.2892","0.0906","0.2021",NA,NA,NA,NA,NA,"0.3377","43900","52000","60200","73100",1
"99",99,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.8234","630","28","0.398989899","0.0086","0.3228",NA,NA,NA,NA,"0.0461",NA,"0.567","62500","65100","68100","87800",1
"100",100,"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"102",102,"Grand Canyon University","Phoenix","AZ","85017","0.3683","NULL","NULL","0.1230392862",NA,NA,NA,"0.0157",NA,NA,NA,NA,"0.3077","46900","55300","55600","90500",1
"103",103,"Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.5068449538","0.0744",NA,"0.0537",NA,NA,NA,NA,NA,"0.37","27500","35800","37900","48300",1
"110",110,"ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.6875","NULL","NULL","0.3430191354","0.372",NA,"0.2317",NA,NA,NA,NA,NA,"0.2969","38100","45300","46100","64300",1
"111",111,"ITT Technical Institute-Tempe","Tempe","AZ","85282","0.7426","NULL","NULL","0.3430191354","0.3017",NA,"0.3388",NA,NA,NA,NA,NA,"0.2833","38100","45300","46100","64300",1
"114",114,"Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","0.0902777778",NA,NA,NA,"0.0335",NA,NA,NA,NA,"0.1017","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36100",1
"115",115,"Northern Arizona University","Flagstaff","AZ","86011-4092","0.6478","590","25","0.4480796586","0.0029","0.0281",NA,"0.0469","0.0044",NA,"0.022","0.0257","0.5178","41800","42900","45100","61900",1
"117",117,"Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.2649294245","0.013",NA,NA,"0.0346","0.013",NA,NA,NA,"NULL","39200","46400","45900","68900",1
"120",120,"University of Phoenix-Phoenix-Hohokam Campus","Phoenix","AZ","85040-1958","NULL","NULL","NULL","0.2020970564","0.0577",NA,NA,NA,NA,NA,NA,NA,"0.191","41600","56700","78400","84700",1
"122",122,"Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.7377810816",NA,NA,NA,NA,NA,NA,NA,NA,"0.7347","26500","33300","36300","50600",1
"124",124,"Prescott College","Prescott","AZ","86301","0.8255","630","25","0.204379562",NA,NA,NA,"0.0306",NA,NA,"0.0051",NA,"0.2927","32200","37600","39500","48300",1
"131",131,"Arizona Christian University","Phoenix","AZ","85032-7097","0.5666","560","24","0.3307692308",NA,NA,NA,NA,NA,NA,NA,NA,"0.3469","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"134",134,"Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.2432950192","0.0674",NA,NA,NA,NA,NA,NA,NA,"0.0601","44200","57900","74600","69300",1
"137",137,"University of Arkansas at Little Rock","Little Rock","AR","72204","0.9624","NULL","24","0.2176752286","0.0245","0.0166","0.0592","0.0397","0.0036",NA,"0.0152",NA,"0.2192","33700","41200","46300","57700",1
"138",138,"University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7181818182",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","67800","68800","80000","124200",1
"140",140,"Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.1323529412",NA,NA,NA,NA,NA,NA,NA,NA,"0.0521","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"143",143,"Lyon College","Batesville","AR","72501","0.6471","660","26","0.5126582278","0.0303",NA,NA,"0.1616","0.0808",NA,"0.0202",NA,"0.4955","43900","37700","43100","50100",1
"146",146,"University of Arkansas","Fayetteville","AR","72701","0.609","630","27","0.4388689765","0.0095","0.0974",NA,"0.05","0.0091",NA,"0.0291",NA,"0.5902","45800","49000","52800","65500",1
"147",147,"University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.2937","510","19","0.1940298507","0.0306",NA,"0.078","0.0474",NA,NA,"0.0167",NA,"0.2297","28100","33100","36400","44400",1
"149",149,"Arkansas State University-Main Campus","Jonesboro","AR","72401","0.6325","575","25","0.3319368353","0.0115","0.0229","0.0078","0.0325","0.0032",NA,"0.0197",NA,"0.3837","31800","38900","43800","53400",1
"150",150,"Arkansas Tech University","Russellville","AR","72801-2222","0.9035","540","25","0.3700221239","0.0226","0.0407","0.0198","0.0147","0.0023",NA,"0.0147",NA,"0.4283","35900","38400","42700","53700",1
"151",151,"University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1748526523",NA,NA,"0.0727","0.0081",NA,NA,"0.0023",NA,"0.28","35300","38800","40800","53000",1
"155",155,"University of Central Arkansas","Conway","AR","72035-0001","0.9093","NULL","25","0.3426333823","0.0041",NA,NA,"0.0245","0.003",NA,"0.0053",NA,"0.4006","36400","42600","46000","56300",1
"156",156,"Central Baptist College","Conway","AR","72034","0.7437","570","23","0.2864864865","0.0909",NA,NA,"0.0091",NA,"0.0182",NA,NA,"0.3558","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","60700",1
"158",158,"Crowley's Ridge College","Paragould","AR","72450","NULL","NULL","NULL","0.203125",NA,NA,NA,NA,NA,NA,NA,NA,"0.3019","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"165",165,"Harding University","Searcy","AR","72143","0.7218","640","27","0.4759568204","0.0363","0.0201",NA,"0.0313","0.005",NA,"0.0038",NA,"0.6325","41700","40300","48000","60000",1
"166",166,"Henderson State University","Arkadelphia","AR","71999-0001","0.5889","520","24","0.0921610169","0.0067",NA,NA,"0.0582","0.0045",NA,"0.0358",NA,"0.3076","36400","38400","41400","50400",1
"167",167,"Hendrix College","Conway","AR","72032-3080","0.825","670","31","0.4259259259","0.028",NA,NA,"0.1573","0.014",NA,"0.0524",NA,"0.7286","PrivacySuppressed","45900","44000","50200",1
"170",170,"John Brown University","Siloam Springs","AR","72761","0.7251","620","27","0.5766738661",NA,"0.0369",NA,"0.0451","0.0061",NA,"0.0102",NA,"0.6565","43000","55900","66000","75000",1
"181",181,"Ouachita Baptist University","Arkadelphia","AR","71998-0001","0.6375","610","26","0.5162337662","0.0078","0.0039",NA,"0.0775","0.0039",NA,"0.0116",NA,"0.6274","43200","37900","42500","55300",1
"184",184,"University of the Ozarks","Clarksville","AR","72830","0.8515","570","25","0.362962963",NA,NA,NA,"0.1386","0.0297",NA,"0.0099",NA,"0.4643","31200","30800","38400","44700",1
"186",186,"Philander Smith College","Little Rock","AR","72202-3799","0.68","510","19","0.3842364532","0.0612",NA,NA,"0.102","0.0306",NA,"0.0102",NA,"0.3115","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40800",1
"195",195,"Williams Baptist College","Walnut Ridge","AR","72476","0.585","NULL","23","0.3209876543","0.03",NA,NA,"0.08",NA,NA,NA,NA,"0.3571","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46800",1
"197",197,"Southern Arkansas University Main Campus","Magnolia","AR","71753","0.6687","610","24","0.2884057971","0.0115",NA,"0.0115","0.0531","0.0069",NA,"0.0346",NA,"0.328","36600","41600","42000","56200",1
"200",200,"University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","0.559","580","24","0.2414008755","0.0269",NA,"0.0376","0.0169",NA,NA,"0.0023",NA,"0.185","30200","36500","44300","50400",1
"201",201,"Academy of Art University","San Francisco","CA","94105","NULL","NULL","NULL","0.1105866487","0.0525",NA,NA,NA,NA,NA,NA,NA,"0.3358","39300","48500","49700","65900",1
"202",202,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034","0.7669","NULL","NULL","0.3430191354","0.2773",NA,"0.3319",NA,NA,NA,NA,NA,"0.3714","38100","45300","46100","64300",1
"203",203,"Academy of Chinese Culture and Health Sciences","Oakland","CA","94612","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"209",209,"American Baptist Seminary of the West","Berkeley","CA","94704-3029","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"210",210,"American Film Institute Conservatory","Los Angeles","CA","90027-1625","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"213",213,"American Conservatory Theater","San Francisco","CA","94108-5834","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"217",217,"Art Center College of Design","Pasadena","CA","91103","0.6321","NULL","NULL","0.4153846154",NA,NA,NA,NA,NA,NA,NA,NA,"0.5443","55900","61700","66400","92100",1
"220",220,"Azusa Pacific University","Azusa","CA","91702-7000","0.5063","600","NULL","0.2189835575","0.0104",NA,NA,"0.0179","0.0045",NA,"0.0045",NA,"0.6339","47500","51100","55000","83100",1
"225",225,"Bethesda University","Anaheim","CA","92801","0.7548","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.6053","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"226",226,"Biola University","La Mirada","CA","90639-0001","0.7668","620","NULL","0.5460921844","0.0047",NA,NA,"0.0409","0.0047",NA,"0.0058",NA,"0.7119","44000","46100","48600","70300",1
"227",227,"Brooks Institute","Ventura","CA","93001","0.9833","NULL","NULL","0.343832021",NA,NA,NA,NA,NA,NA,NA,NA,"0.451","30500","34700","41200","52300",1
"231",231,"Phillips Graduate Institute","Chatsworth","CA","91311","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"232",232,"California Institute of Integral Studies","San Francisco","CA","94103","NULL","NULL","NULL","0.7096774194",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"234",234,"California Baptist University","Riverside","CA","92504-3297","0.7406","550","23","0.3582089552","0.0014","0.0241",NA,"0.0212","0.0156",NA,NA,NA,"0.5521","38400","46400","47000","71600",1
"235",235,"California College of the Arts","San Francisco","CA","94107-2247","0.7626","NULL","NULL","0.4830769231",NA,NA,NA,NA,NA,NA,NA,NA,"0.4862","43200","46500","58700","68800",1
"236",236,"University of California-Hastings College of Law","San Francisco","CA","94102-4978","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","205400",1
"237",237,"California Institute of Technology","Pasadena","CA","91125","0.1277","800","36","0.5092592593","0.1149","0.4128",NA,"0.0809","0.1149",NA,"0.2468",NA,"0.867","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"238",238,"California Lutheran University","Thousand Oaks","CA","91360-2787","0.4399","610","27","0.5088757396","0.0294","0.0033",NA,"0.0424","0.0065",NA,"0.0179",NA,"0.639","49500","53800","58200","71900",1
"239",239,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407","0.3254","680","31","0.5505087209","0.018","0.2412","0.0134","0.0409","0.0168",NA,"0.0113",NA,"0.7459","62600","65500","68300","81700",1
"240",240,"Alliant International University-San Diego","San Diego","CA","92131","NULL","NULL","NULL","0.89375",NA,NA,NA,NA,NA,NA,NA,NA,"0.2857","58600","55400","62700","88300",1
"241",241,"California State University-Bakersfield","Bakersfield","CA","93311-1099","0.6627","530","23","0.365990991","0.0079",NA,NA,"0.0252","0.0166",NA,"0.0216",NA,"0.4138","46100","49900","50100","67500",1
"242",242,"California State University-Stanislaus","Turlock","CA","95382-0299","0.3356","530","23","0.1017897092","0.0215",NA,NA,"0.0444","0.018",NA,"0.0097",NA,"0.4912","45100","44200","46900","63000",1
"243",243,"California State University-San Bernardino","San Bernardino","CA","92407-2397","0.1906","510","22","0.4123222749","0.0108","0.0017",NA,"0.0188","0.016",NA,"0.022",NA,"0.4456","44100","48200","49800","66500",1
"244",244,"California State Polytechnic University-Pomona","Pomona","CA","91768","0.4465","630","28","0.2158690176","0.0132","0.1455","0.0271","0.0488","0.0117",NA,"0.0112",NA,"0.5034","54400","55100","56000","71900",1
"245",245,"California State University-Chico","Chico","CA","95929-0150","0.6222","580","26","0.4524284764","0.0344","0.0394","0.0444","0.0219","0.0092",NA,"0.0069",NA,"0.5904","48300","50800","53300","71500",1
"246",246,"California State University-Dominguez Hills","Carson","CA","90747-0005","0.5793","470","19","0.2721062619","0.0097",NA,"0.0005","0.0219","0.0063",NA,"0.0034",NA,"0.244","42400","49100","56800","70900",1
"247",247,"California State University-Fresno","Fresno","CA","93740","0.5591","540","24","0.3628389155","0.0031","0.0338","0.0236","0.0211","0.0093",NA,"0.0135",NA,"0.4945","45400","47400","51900","64400",1
"248",248,"California State University-Fullerton","Fullerton","CA","92831-3599","0.4515","570","25","0.4099212335","0.0083","0.0166",NA,"0.0255","0.0071",NA,"0.0052",NA,"0.5005","48400","50700","51500","65900",1
"249",249,"California State University-East Bay","Hayward","CA","94542","0.2197","530","22","0.3182346109","0.0213","0.0043",NA,"0.0449","0.0071",NA,"0.0055",NA,"0.4329","52500","58100","56800","77200",1
"250",250,"California State University-Long Beach","Long Beach","CA","90840-0115","0.3444","590","25","0.4407076546","0.0079","0.0424","0.0089","0.0394","0.0089",NA,"0.0059",NA,"0.5402","49200","51200","51200","68900",1
"251",251,"California State University-Los Angeles","Los Angeles","CA","90032","0.5717","510","21","0.2071963294","0.0263","0.0325","0.004","0.0247","0.0067",NA,"0.0064",NA,"0.3647","45200","49200","53500","70000",1
"252",252,"California State University-Northridge","Northridge","CA","91330","0.7354","530","23","0.3792774152","0.0158","0.0284","0.0012","0.0335","0.0054",NA,"0.0046",NA,"0.4609","45700","49000","50000","65200",1
"253",253,"California State University-Sacramento","Sacramento","CA","95819-2694","0.7085","540","24","0.1668889312","0.0073","0.043","0.0057","0.0282","0.0073",NA,"0.0114",NA,"0.4163","48200","50900","54200","70000",1
"254",254,"University of California-Berkeley","Berkeley","CA","94720","0.2143","760","34","0.5313669381","0.0135","0.1104",NA,"0.1235","0.03",NA,"0.0304",NA,"0.9049","76800","78700","80900","95700",1
"255",255,"University of California-Davis","Davis","CA","95616-8678","0.4627","680","30","0.5465726171","0.0078","0.0743",NA,"0.2173","0.0106",NA,"0.0203",NA,"0.817","65400","68100","65300","76900",1
"256",256,"University of California-Irvine","Irvine","CA","92697","0.4521","680","30","0.6583793738","0.0276","0.0765",NA,"0.1653","0.0114",NA,"0.0332",NA,"0.846","62400","60700","62400","73500",1
"257",257,"University of California-Los Angeles","Los Angeles","CA","90095-1405","0.2554","740","33","0.7222108495","0.0089","0.0929",NA,"0.1476","0.0354",NA,"0.0156",NA,"0.8996","71700","67600","70800","82500",1
"258",258,"University of California-Riverside","Riverside","CA","92521","0.7588","610","26","0.2459511392","0.0104","0.0534",NA,"0.1423","0.0159",NA,"0.0133",NA,"0.6678","50300","52700","55800","61800",1
"259",259,"University of California-San Diego","La Jolla","CA","92093","0.3788","720","33","0.6300114548","0.0232","0.1043",NA,"0.2358","0.0211",NA,"0.039",NA,"0.8532","70100","68500","70300","76200",1
"260",260,"University of California-San Francisco","San Francisco","CA","94143-0244","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","158100",1
"261",261,"University of California-Santa Barbara","Santa Barbara","CA","93106","0.4547","670","30","0.6058020478","0.0104","0.0334",NA,"0.0804","0.0161",NA,"0.0251",NA,"0.7978","57400","57000","61400","68200",1
"262",262,"University of California-Santa Cruz","Santa Cruz","CA","95064-1011","0.6382","640","28","0.596681341","0.0265","0.0176",NA,"0.1427","0.0141",NA,"0.0327",NA,"0.7337","46800","50900","52000","61300",1
