"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1",1,"Alabama A & M University","Normal","AL","35762","0.5129","470","18","0.2295472597","0.0263","0.0957","0.0375","0.0882","0.0131",NA,"0.0263",NA,"0.3306","NULL","NULL","NULL","NULL",1
"2",2,"University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.8243","690","26","0.3912454874","0.0083","0.0552",NA,"0.0816","0.0083",NA,"0.0134",NA,"0.4108","NULL","NULL","NULL","NULL",1
"3",3,"Amridge University","Montgomery","AL","36117-3553","0.7143","NULL","NULL","0.3764705882","0.0323",NA,NA,NA,NA,NA,NA,NA,"0.2308","NULL","NULL","NULL","NULL",1
"4",4,"University of Alabama in Huntsville","Huntsville","AL","35899","0.6614","655","28","0.3500948767","0.0364","0.2765",NA,"0.0697","0.0182",NA,"0.0247",NA,"0.4364","NULL","NULL","NULL","NULL",1
"5",5,"Alabama State University","Montgomery","AL","36104-0271","0.4372","420","16","0.0931315483","0.0643",NA,NA,"0.1002","0.0227",NA,"0.0057",NA,"0.2399","NULL","NULL","NULL","NULL",1
"6",6,"The University of Alabama","Tuscaloosa","AL","35487-0166","0.5358","620","27","0.4937965261","0.0058","0.0672",NA,"0.0357","0.0044",NA,"0.0121",NA,"0.6726","NULL","NULL","NULL","NULL",1
"8",8,"Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5420673077","0.0248",NA,NA,"0.0297","0.0285",NA,"0.0025",NA,"NULL","NULL","NULL","NULL","NULL",1
"9",9,"Auburn University at Montgomery","Montgomery","AL","36117-3596","0.9503","NULL","21","0.2955854127",NA,NA,NA,"0.082","0.0108",NA,"0.017",NA,"0.2455","NULL","NULL","NULL","NULL",1
"10",10,"Auburn University","Auburn","AL","36849","0.7867","660","29","0.1015981735","0.0049","0.1359",NA,"0.0678","0.0069",NA,"0.0072",NA,"0.6644","NULL","NULL","NULL","NULL",1
"11",11,"Birmingham Southern College","Birmingham","AL","35254","0.6649","640","31","0.1404494382","0.0088","0.0175",NA,"0.0921","0.0263",NA,"0.0307",NA,"0.6349","NULL","NULL","NULL","NULL",1
"13",13,"Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0405","NULL","NULL","NULL","NULL",1
"14",14,"South University-Montgomery","Montgomery","AL","36116","0.9273","NULL","NULL","0.1982705374","0.092",NA,NA,NA,NA,NA,NA,NA,"0.2121","NULL","NULL","NULL","NULL",1
"17",17,"Faulkner University","Montgomery","AL","36109-3390","0.5117","530","23","0.1562799616","0.0152",NA,NA,"0.0061","0.0061",NA,NA,NA,"0.373","NULL","NULL","NULL","NULL",1
"22",22,"Herzing University-Birmingham","Birmingham","AL","35209","0.7907","NULL","NULL","0.3382099828",NA,NA,"0.0491",NA,NA,NA,NA,NA,"0.2","NULL","NULL","NULL","NULL",1
"23",23,"Huntingdon College","Montgomery","AL","36106-2148","0.6217","540","24","0.4296296296",NA,NA,NA,"0.1287","0.0198",NA,"0.005",NA,"0.474","NULL","NULL","NULL","NULL",1
"24",24,"Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.6667","NULL","NULL","NULL","NULL",1
"26",26,"Jacksonville State University","Jacksonville","AL","36265","0.8397","530","23","0.2451726156","0.0179",NA,"0.0197","0.0286","0.0098",NA,"0.0027",NA,"0.3304","NULL","NULL","NULL","NULL",1
"30",30,"Judson College","Marion","AL","36756","0.8154","520","23","0.1904761905",NA,NA,NA,"0.087",NA,NA,"0.0652",NA,"0.3913","NULL","NULL","NULL","NULL",1
"32",32,"University of West Alabama","Livingston","AL","35470","0.4052","NULL","23","0.2222222222",NA,NA,"0.06","0.04","0.028",NA,"0.012",NA,"0.3144","NULL","NULL","NULL","NULL",1
"35",35,"Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.0985074627","0.0468",NA,NA,"0.1053","0.0058",NA,"0.0175",NA,"0.2412","NULL","NULL","NULL","NULL",1
"36",36,"University of Mobile","Mobile","AL","36613-2842","0.746","598","25","0.4065281899","0.0033",NA,NA,"0.0099","0.0033",NA,NA,NA,"0.4122","NULL","NULL","NULL","NULL",1
"37",37,"University of Montevallo","Montevallo","AL","35115-6000","0.723","NULL","28","0.4219653179",NA,NA,NA,"0.0499","0.0159",NA,"0.0113",NA,"0.4078","NULL","NULL","NULL","NULL",1
"39",39,"University of North Alabama","Florence","AL","35632-0001","0.8685","563","23","0.352674524","0.0066",NA,NA,"0.0339","0.0066",NA,"0.0273",NA,"0.3306","NULL","NULL","NULL","NULL",1
"41",41,"Oakwood University","Huntsville","AL","35896","0.5112","520","19","0.2316513761","0.0281",NA,NA,"0.1847","0.008",NA,NA,NA,"0.4028","NULL","NULL","NULL","NULL",1
"46",46,"Samford University","Birmingham","AL","35229-2240","0.8669","620","27","0.6051282051","0.0104","0.0035",NA,"0.083","0.0104",NA,"0.0017",NA,"0.7338","NULL","NULL","NULL","NULL",1
"47",47,"Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"50",50,"University of South Alabama","Mobile","AL","36688-0002","0.8645","NULL","23","0.2972292191","0.0156","0.055",NA,"0.0533","0.0023",NA,"0.018",NA,"0.3631","NULL","NULL","NULL","NULL",1
"51",51,"Spring Hill College","Mobile","AL","36608-1791","0.5307","580","25","0.4840764331",NA,"0.0038",NA,"0.0837","0.0038",NA,"0.0076",NA,"0.644","NULL","NULL","NULL","NULL",1
"52",52,"Southeastern Bible College","Birmingham","AL","35244-2083","0.8696","NULL","23","0.1929824561",NA,NA,NA,NA,NA,NA,NA,NA,"0.4643","NULL","NULL","NULL","NULL",1
"53",53,"Stillman College","Tuscaloosa","AL","35401","0.4855","450","18","0.2033898305",NA,NA,NA,"0.1771","0.0104",NA,NA,NA,"0.2384","NULL","NULL","NULL","NULL",1
"54",54,"Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.3333333333","0.0472",NA,NA,"0.0943","0.0189",NA,"0.0094",NA,"0.1932","NULL","NULL","NULL","NULL",1
"56",56,"Troy University","Troy","AL","36082-0001","0.6951","NULL","22","0.1682692308","0.0457",NA,"0.0063","0.0163","0.0103",NA,"0.0031",NA,"0.3345","NULL","NULL","NULL","NULL",1
"57",57,"Tuskegee University","Tuskegee","AL","36088-1920","0.5972","480","21","0.1843971631","0.0255","0.1253",NA,"0.1044","0.0093",NA,"0.0232",NA,"0.4636","NULL","NULL","NULL","NULL",1
"58",58,"United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.1641791045",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
