"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1","Alabama A & M University","Normal","AL","35762","0.8989","450","18","0.2418456643","0.0348","0.1175","0.0348","0.1026","0.0199","0","0.0248","0","0.2914","NULL","NULL","NULL","NULL",1
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.8673","650","26","0.4283935243","0.0099","0.0632","0","0.0619","0.0135","0","0.0181","0","0.5377","NULL","NULL","NULL","NULL",1
"3","Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.2095808383","0.0411","0","0","0","0","0","0","0","0.6667","NULL","NULL","NULL","NULL",1
"4","University of Alabama in Huntsville","Huntsville","AL","35899","0.8062","650","28","0.3922902494","0.0273","0.2566","0","0.0855","0.0218","0","0.0209","0","0.4835","NULL","NULL","NULL","NULL",1
"5","Alabama State University","Montgomery","AL","36104-0271","0.5125","480","18","0.1866666667","0.0451","0","0","0.1035","0.0184","0","0.015","0","0.2517","NULL","NULL","NULL","NULL",1
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","0.5655","640","28","0.5216741405","0.0068","0.064","0","0.0348","0.0076","0","0.0074","0","0.6665","NULL","NULL","NULL","NULL",1
"7","Central Alabama Community College","Alexander City","AL","35010","NULL","NULL","NULL","0.0204081633","0.0186","0","0.0669","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"8","Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5194552529","0.0386","0","0","0.0243","0.0408","0","0.0011","0","NULL","NULL","NULL","NULL","NULL",1
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","0.8371","NULL","23","0.2066057625","0","0","0","0.1032","0.0018","0","0.0231","0","0.2705","NULL","NULL","NULL","NULL",1
"10","Auburn University","Auburn","AL","36849","0.8274","650","28","0.5300506879","0.0051","0.1491","0","0.0769","0.0077","0","0.0129","0","0.6792","NULL","NULL","NULL","NULL",1
"11","Birmingham Southern College","Birmingham","AL","35254","0.6422","640","27","0.5457627119","0.0033","0.0033","0","0.113","0.0365","0","0.0399","0","0.6192","NULL","NULL","NULL","NULL",1
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","NULL","NULL","NULL","0.1267605634","0.0205","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"13","Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.2115","NULL","NULL","NULL","NULL",1
"14","South University-Montgomery","Montgomery","AL","36116","0.4366","NULL","NULL","0.1091111229","0.0735","0","0","0","0","0","0","0","0.0784","NULL","NULL","NULL","NULL",1
"15","Enterprise State Community College","Enterprise","AL","36330-1300","NULL","NULL","NULL","PrivacySuppressed","0.0085","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"16","James H Faulkner State Community College","Bay Minette","AL","36507-2698","NULL","NULL","NULL","0.117248567","0.0449","0","0.0043","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"17","Faulkner University","Montgomery","AL","36109-3390","NULL","NULL","NULL","0.2600536193","0.014","0","0","0.0018","0.0035","0","0","0","0.2287","NULL","NULL","NULL","NULL",1
"18","Gadsden State Community College","Gadsden","AL","35903","NULL","NULL","NULL","0.1423791822","0.0069","0","0.1239","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"19","New Beginning College of Cosmetology","Albertville","AL","35951","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"20","George C Wallace State Community College-Dothan","Dothan","AL","36303-9234","NULL","NULL","NULL","0.186627907","0.0081","0","0.0862","0","0","0","0","0.0203","NULL","NULL","NULL","NULL","NULL",2
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","NULL","NULL","NULL","0.2338352524","0.013","0","0.0281","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808","NULL","NULL","NULL","0.0345528455","0.0147","0","0.0221","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"23","Herzing University-Birmingham","Birmingham","AL","35209","0.7234","NULL","NULL","0.2366124086","0.1304","0","0.0163","0","0","0","0","0","0.1778","NULL","NULL","NULL","NULL",1
"24","Huntingdon College","Montgomery","AL","36106-2148","0.6279","540","23","0.4358208955","0","0","0","0.0968","0.0046","0","0.0276","0","0.4319","NULL","NULL","NULL","NULL",1
"25","Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL",1
"26","J F Drake State Community and Technical College","Huntsville","AL","35811","NULL","NULL","NULL","0.1044386423","0.1357","0","0.0643","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"27","Jacksonville State University","Jacksonville","AL","36265","0.8326","540","24","0.3029107055","0.0132","0","0.0234","0.0403","0.0103","0","0.0051","0","0.3083","NULL","NULL","NULL","NULL",1
"28","Jefferson Davis Community College","Brewton","AL","36426","NULL","NULL","NULL","0.1206581353","0","0","0.0854","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"29","Jefferson State Community College","Birmingham","AL","35215-3098","NULL","NULL","NULL","0.1464397671","0.0632","0","0.0535","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"30","John C Calhoun State Community College","Tanner","AL","35671","NULL","NULL","NULL","0.1217464316","0.0212","0","0.099","0","0","0.0006","0","0","NULL","NULL","NULL","NULL","NULL",2
"31","Judson College","Marion","AL","36756","0.7388","600","23","0.1208791209","0","0","0","0.0862","0.0172","0","0.0172","0","0.4051","NULL","NULL","NULL","NULL",1
"32","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","NULL","NULL","NULL","0.1132917038","0.0478","0","0.1164","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"33","University of West Alabama","Livingston","AL","35470","0.9957","NULL","22","0.2622036262","0","0","0.0237","0.0373","0.0373","0","0.0169","0","0.3161","NULL","NULL","NULL","NULL",1
"34","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","NULL","NULL","NULL","0.1001390821","0.0219","0","0.0268","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"35","Marion Military Institute","Marion","AL","36756-3207","0.6034","600","26","0.2911392405","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"36","Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.142228739","0.0588","0","0","0.1444","0.0053","0","0","0","0.216","NULL","NULL","NULL","NULL",1
