"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1","Alabama A & M University","Normal","AL","35762","0.5129","470","18","0.2295472597","0.0263","0.0957","0.0375","0.0882","0.0131","0","0.0263","0","0.3306","NULL","NULL","NULL","NULL",1
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.8243","690","26","0.3912454874","0.0083","0.0552","0","0.0816","0.0083","0","0.0134","0","0.4108","NULL","NULL","NULL","NULL",1
"3","Amridge University","Montgomery","AL","36117-3553","0.7143","NULL","NULL","0.3764705882","0.0323","0","0","0","0","0","0","0","0.2308","NULL","NULL","NULL","NULL",1
"4","University of Alabama in Huntsville","Huntsville","AL","35899","0.6614","655","28","0.3500948767","0.0364","0.2765","0","0.0697","0.0182","0","0.0247","0","0.4364","NULL","NULL","NULL","NULL",1
"5","Alabama State University","Montgomery","AL","36104-0271","0.4372","420","16","0.0931315483","0.0643","0","0","0.1002","0.0227","0","0.0057","0","0.2399","NULL","NULL","NULL","NULL",1
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","0.5358","620","27","0.4937965261","0.0058","0.0672","0","0.0357","0.0044","0","0.0121","0","0.6726","NULL","NULL","NULL","NULL",1
"7","Central Alabama Community College","Alexander City","AL","35010","NULL","NULL","NULL","0.0512091038","0.0236","0","0.0541","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"8","Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5420673077","0.0248","0","0","0.0297","0.0285","0","0.0025","0","NULL","NULL","NULL","NULL","NULL",1
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","0.9503","NULL","21","0.2955854127","0","0","0","0.082","0.0108","0","0.017","0","0.2455","NULL","NULL","NULL","NULL",1
"10","Auburn University","Auburn","AL","36849","0.7867","660","29","0.1015981735","0.0049","0.1359","0","0.0678","0.0069","0","0.0072","0","0.6644","NULL","NULL","NULL","NULL",1
"11","Birmingham Southern College","Birmingham","AL","35254","0.6649","640","31","0.1404494382","0.0088","0.0175","0","0.0921","0.0263","0","0.0307","0","0.6349","NULL","NULL","NULL","NULL",1
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","NULL","NULL","NULL","0.1019332162","0.0413","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
