"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1","Alabama A & M University","Normal","AL","35762","0.501","450","18","0.2493224932","0.0258","0.0856","0.0404","0.0985","0.0162","0","0.0226","0","0.3171","33400","35300","41400","51400",1
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.7223","640","26","0.4324198792","0.0139","0.0551","0","0.0819","0.0094","0","0.0184","0","0.4462","45900","44400","49700","66200",1
"3","Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.3218390805","0.0198","0","0","0","0","0","0","0","0.25","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","75400",1
"4","University of Alabama in Huntsville","Huntsville","AL","35899","0.6368","670","28","0.3728350046","0.0292","0.2471","0","0.0652","0.0146","0","0.0311","0","0.4537","47800","53900","57700","70300",1
"5","Alabama State University","Montgomery","AL","36104-0271","0.508","450","16","0.1168539326","0.0775","0","0","0.1074","0.0123","0","0.0053","0","0.2621","28900","31900","36600","39800",1
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","0.4353","640","27","0.4968759298","0.0043","0.0704","0","0.0367","0.0058","0","0.0121","0","0.6579","46800","49800","50000","61600",1
"7","Central Alabama Community College","Alexander City","AL","35010","NULL","NULL","NULL","0.0593667546","0.0184","0","0.0337","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47500",2
"8","Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5174353206","0.0219","0","0","0.0208","0.0395","0","0.0021","0","NULL","38600","43300","44600","61200",1
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","0.7894","NULL","21","0.2711267606","0","0","0","0.0891","0.0141","0","0.0188","0","0.3327","33800","40500","37800","55900",1
"10","Auburn University","Auburn","AL","36849","0.7","620","28","0.0927062031","0.0041","0.1475","0","0.0592","0.0065","0","0.0077","0","0.6628","49900","52900","52600","67000",1
"11","Birmingham Southern College","Birmingham","AL","35254","0.6418","630","27","0.2233333333","0.0312","0","0","0.1059","0.0623","0","0.0312","0","0.6297","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","58300",1
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","NULL","NULL","NULL","0.1054481547","0.0331","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46400",2
"13","Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.0515","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36600",1
"14","South University-Montgomery","Montgomery","AL","36116","0.5533","NULL","NULL","0.159801877","0.1376","0","0","0","0","0","0","0","0.1087","30200","41900","45300","74600",1
"15","Enterprise State Community College","Enterprise","AL","36330-1300","NULL","NULL","NULL","PrivacySuppressed","0.0423","0","0.0045","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","67000",2
"16","James H Faulkner State Community College","Bay Minette","AL","36507-2698","NULL","NULL","NULL","0.0921584479","0.0226","0","0","0","0","0","0","0","NULL","29400","33400","39100","50200",2
"17","Faulkner University","Montgomery","AL","36109-3390","0.5802","472","23","0.1915641476","0.0112","0","0","0.0064","0","0","0","0","0.3333","34200","46200","57700","63600",1
"18","Gadsden State Community College","Gadsden","AL","35903","NULL","NULL","NULL","0.1226480836","0.0148","0","0.0959","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46200",2
"19","New Beginning College of Cosmetology","Albertville","AL","35951","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"20","George C Wallace State Community College-Dothan","Dothan","AL","36303-9234","NULL","NULL","NULL","0.1565217391","0.0097","0","0.0622","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46300",2
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","NULL","NULL","NULL","0.2525184688","0.0172","0","0.0163","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","52000",2
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808","NULL","NULL","NULL","0.0319888734","0.0415","0","0.0262","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46000",2
"23","Herzing University-Birmingham","Birmingham","AL","35209","0.979","NULL","NULL","0.3236057069","0.0687","0","0.103","0","0","0","0","0","0.1136","40100","44300","47900","58300",1
"24","Huntingdon College","Montgomery","AL","36106-2148","0.6199","558","23","0.4595375723","0","0","0","0.113","0.0209","0","0.0209","0","0.5189","38300","39400","42600","54500",1
"25","Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"26","J F Drake State Community and Technical College","Huntsville","AL","35811","NULL","NULL","NULL","0.0696969697","0.0638","0","0.0426","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42100",2
"27","Jacksonville State University","Jacksonville","AL","36265","0.8365","520","24","0.2805194805","0.0131","0","0.0222","0.0419","0.009","0","0.0074","0","0.3152","34000","38000","39000","53800",1
"28","Jefferson Davis Community College","Brewton","AL","36426","NULL","NULL","NULL","0.121875","0","0","0.1429","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50900",2
"29","Jefferson State Community College","Birmingham","AL","35215-3098","NULL","NULL","NULL","0.1407516581","0.0586","0","0.0696","0","0","0","0","0","NULL","30400","36200","40200","49400",2
"30","John C Calhoun State Community College","Tanner","AL","35671","NULL","NULL","NULL","0.109823911","0.0083","0","0.1076","0","0","0.0025","0","0","NULL","28600","36600","37400","51600",2
"31","Judson College","Marion","AL","36756","0.7435","510","23","0.2604166667","0","0","0","0.3","0","0","0.05","0","0.3797","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38500",1
"32","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","NULL","NULL","NULL","0.1132075472","0.0281","0","0.1266","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42600",2
"33","University of West Alabama","Livingston","AL","35470","0.6756","660","22","0.2075736325","0","0","0.032","0.028","0.032","0","0.016","0","0.2978","33200","38600","41300","58500",1
"34","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","NULL","NULL","NULL","0.0377358491","0.0159","0","0.0317","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46600",2
"35","Marion Military Institute","Marion","AL","36756-3207","0.6023","620","25","0.3630136986","0","0","0","0","0","0.4807","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","54700",2
"36","Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.1463414634","0.0152","0","0","0.1371","0.0203","0","0.0102","0","0.1954","26700","31900","32100","41300",1
"37","University of Mobile","Mobile","AL","36613-2842","0.8065","577","22","0.4265129683","0","0","0","0.0143","0.0072","0","0","0","0.428","37100","43300","43900","60600",1
"38","University of Montevallo","Montevallo","AL","35115-6000","0.757","605","28","0.4136690647","0","0","0","0.0572","0.0183","0","0.016","0","0.4342","32300","39500","36700","45100",1
"39","Northwest-Shoals Community College","Muscle Shoals","AL","35661","NULL","NULL","NULL","0.0686653772","0.0337","0","0.0472","0","0","0","0","0","NULL","27100","35300","36700","48000",2
"40","University of North Alabama","Florence","AL","35632-0001","0.8764","535","23","0.3342036554","0.0055","0","0","0.0439","0.0055","0","0.0164","0","0.2739","35700","41300","42400","54700",1
"41","Northeast Alabama Community College","Rainsville","AL","35986","NULL","NULL","NULL","0.1948529412","0.02","0","0.0985","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48800",2
"42","Oakwood University","Huntsville","AL","35896","0.4355","493","21","0.2008547009","0.0038","0","0","0.2099","0.0153","0","0.0038","0","0.3498","33100","39600","45600","52100",1
"43","Alabama Southern Community College","Monroeville","AL","36460","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0925","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48700",2
"44","Prince Institute-Southeast","Elmhurst","IL","60126","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"45","Reid State Technical College","Evergreen","AL","36401","NULL","NULL","NULL","PrivacySuppressed","0.0511","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46100",2
"46","Bishop State Community College","Mobile","AL","36603-5898","NULL","NULL","NULL","0.0896551724","0.0173","0","0.0815","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44500",2
"47","Samford University","Birmingham","AL","35229-2240","0.8258","640","27","0.6268980477","0.0086","0","0","0.0567","0.0086","0","0.0052","0","0.7024","73000","55200","49500","73500",1
"48","Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.5566","NULL","NULL","NULL","PrivacySuppressed",1
"49","Shelton State Community College","Tuscaloosa","AL","35405-8522","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0541","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45700",2
"50","Snead State Community College","Boaz","AL","35957-0734","NULL","NULL","NULL","0.0574074074","0.1307","0","0.0317","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45900",2
"51","University of South Alabama","Mobile","AL","36688-0002","0.8726","560","24","0.2966002345","0.0222","0.0612","0","0.0601","0.006","0","0.0325","0","0.3823","43100","45500","48600","64100",1
"52","Spring Hill College","Mobile","AL","36608-1791","0.4854","588","26","0.4146341463","0","0.0039","0","0.1216","0.0157","0","0","0","0.6095","47900","48100","52400","62100",1
"53","Southeastern Bible College","Birmingham","AL","35244-2083","1","680","20","0.2873563218","0","0","0","0","0","0","0","0","0.2941","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"54","Stillman College","Tuscaloosa","AL","35401","0.4647","475","18","0.1995073892","0","0","0","0.1845","0","0","0","0","0.3447","26400","29000","34300","43400",1
"55","Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2222222222","0.0373","0","0","0","0","0","0.0075","0","0.2","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35600",1
"56","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","NULL","NULL","NULL","0.0277777778","0.0484","0","0.0502","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44900",2
"57","Troy University","Troy","AL","36082-0001","0.7147","NULL","22","0.210031348","0.0439","0","0.0056","0.0128","0.0091","0","0.0028","0","0.318","35300","43800","44000","60300",1
"58","Tuskegee University","Tuskegee","AL","36088-1920","0.641","490","22","0.2780487805","0.0127","0.1544","0","0.1063","0.0101","0","0.0253","0","0.4301","38800","44100","45700","65900",1
"59","United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.2580645161","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"60","Bevill State Community College","Jasper","AL","35501","NULL","NULL","NULL","0.1504854369","0.0197","0","0.0433","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50900",2
"61","University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.1959183673","0.0212","0.0269","0.0817","0.0217","0.0088","0","0.0088","0.0088","0.2562","41300","48300","51300","77600",1
"62","Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","0.5","NULL","NULL","NULL","NULL",1
"63","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.2251082251","0.0077","0.0958","0.0407","0.0485","0.0066","0","0.0176","0.0011","0.2632","40000","44900","50700","67300",1
"64","University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1762589928","0.0111","0.0037","0.0222","0.0519","0.0111","0","0","0","0.2125","39400","44700","42000","60600",1
"65","Alaska Pacific University","Anchorage","AK","99508","0.3261","560","26","0.406779661","0","0","0","0.1333","0","0","0.0111","0","0.4615","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","68900",1
"66","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","0.3654","NULL","NULL","0.5656565657","0.041","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","72900",3
"67","Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.4385964912","0.2221","0","0.0432","0","0","0","0","0","0.9375","37400","50600","PrivacySuppressed","67400",1
"68","Prince William Sound Community College","Valdez","AK","99686-0097","NULL","NULL","NULL","0.1959183673","0","0","0.0435","0","0","0","0","0","NULL","41300","48300","51300","77600",2
"69","Alaska Career College","Anchorage","AK","99507-1033","NULL","NULL","NULL","0.7457627119","0","0","0","0","0","0","0","0","NULL","27700","35800","PrivacySuppressed","48600",2
"70","Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.2594936709","0","0","0","0","0","0","0","0","0.4123","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44400",1
"71","Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2269736842","0","0","0","0","0","0","0","0","0.4066","25000","31100","36700","47400",1
"72","Empire Beauty School-Paradise Valley","Phoenix","AZ","85032","NULL","NULL","NULL","0.59375","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"73","Empire Beauty School-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.6195286195","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37500",3
"74","Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","169300",1
"75","American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.625","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"76","American Institute of Technology","Phoenix","AZ","85043-4729","NULL","NULL","NULL","0.6666666667","0","0","0","0","0","0","0","0","NULL","27500","33400","PrivacySuppressed","55000",3
"77","Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.7124201973","0","0","0","0","0","0","0","0","0.6841","25400","33400","34100","44300",1
"78","Carrington College-Mesa","Mesa","AZ","85210","1","NULL","NULL","0.7124201973","0","0","0","0","0","0","0","0","NULL","25400","33400","34100","44300",2
"79","Carrington College-Tucson","Tucson","AZ","85745","1","NULL","NULL","0.7124201973","0","0","0","0","0","0","0","0","NULL","25400","33400","34100","44300",2
"80","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.3732057416","0.2","0","0","0","0","0","0","0","0.6069","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","37900",1
"81","Arizona Academy of Beauty-East","Tucson","AZ","85712","NULL","NULL","NULL","0.5277777778","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"82","Arizona Automotive Institute","Glendale","AZ","85301-3579","NULL","NULL","NULL","0.5560165975","0","0","0","0","0","0","0","0","NULL","31200","39600","41900","52000",2
"83","Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.5407512403","0","0","0","0","0","0","0","0","0.651","22800","27400","PrivacySuppressed","38200",1
"84","Arizona State University-Tempe","Tempe","AZ","85287","0.8664","620","27","0.5089969549","0.0191","0.0465","0.0051","0.0521","0.0073","0","0.0059","0.0057","0.5747","49300","52600","55400","70000",1
"85","Arizona Western College","Yuma","AZ","85365-8834","NULL","NULL","NULL","0.0206022187","0.0129","0.0074","0.0148","0.0117","0.0074","0","0.0031","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47300",2
"86","University of Arizona","Tucson","AZ","85721-0066","0.7536","620","NULL","0.4776297475","0.0105","0.0433","0.0223","0.0946","0.0123","0","0.0218","0.0011","0.6137","48800","52600","57900","69600",1
"87","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.1770334928","0","0","0","0","0","0","0","0","0.8","26000","33400","PrivacySuppressed","44500",1
"88","Brillare Hairdressing Academy","Scottsdale","AZ","85254","NULL","NULL","NULL","0.8209876543","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43200",3
"89","Central Arizona College","Coolidge","AZ","85128-9030","NULL","NULL","NULL","0.1213080169","0.1294","0","0.0041","0","0","0","0","0","NULL","29300","32100","42100","49800",2
"90","Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.3678290214","0.1267","0","0.1467","0","0","0","0","0","0.2222","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47100",1
"91","Charles of Italy Beauty College","Lake Havasu City","AZ","86403","NULL","NULL","NULL","0.5492957746","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"92","Cochise County Community College District","Douglas","AZ","85607-6190","NULL","NULL","NULL","0.1035386632","0.0428","0.0022","0.0339","0.0007","0.0011","0.2781","0.0007","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55800",2
"93","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004","NULL","NULL","NULL","0.6631944444","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40800",3
"94","Empire Beauty School-Chandler","Chandler","AZ","85224","NULL","NULL","NULL","0.6631944444","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40800",3
"95","Cortiva Institute-Tucson","Tucson","AZ","85710","NULL","NULL","NULL","0.691588785","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45100",3
"96","DeVry University-Arizona","Phoenix","AZ","85021-2995","0.9188","NULL","NULL","0.126394998","0.2892","0.0906","0.2021","0","0","0","0","0","0.3377","43900","52000","60200","73100",1
"97","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210","NULL","NULL","NULL","0.6736111111","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40600",3
"98","Eastern Arizona College","Thatcher","AZ","85552-0769","NULL","NULL","NULL","0.1451292247","0.0153","0","0.0336","0.0041","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55400",2
"99","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.8234","630","28","0.398989899","0.0086","0.3228","0","0","0","0","0.0461","0","0.567","62500","65100","68100","87800",1
"100","Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"101","Glendale Community College","Glendale","AZ","85302","NULL","NULL","NULL","0.006421691","0.019","0","0.0133","0.0003","0","0","0.039","0","NULL","34100","38500","44200","56800",2
"102","Grand Canyon University","Phoenix","AZ","85017","0.3683","NULL","NULL","0.1230392862","0","0","0","0.0157","0","0","0","0","0.3077","46900","55300","55600","90500",1
"103","Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.5068449538","0.0744","0","0.0537","0","0","0","0","0","0.37","27500","35800","37900","48300",1
"104","International Academy of Hair Design","Tempe","AZ","85282-6730","NULL","NULL","NULL","0.728","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"105","Lamson College","Tempe","AZ","85284","NULL","NULL","NULL","0.4601941748","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46000",2
"106","Kaplan College-Phoenix","Phoenix","AZ","85029","NULL","NULL","NULL","0.5424164524","0","0","0","0","0","0","0","0","NULL","24500","34700","PrivacySuppressed","47900",2
"107","Maricopa Beauty College LLC","Avondale","AZ","85323","NULL","NULL","NULL","0.7142857143","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"108","GateWay Community College","Phoenix","AZ","85034","NULL","NULL","NULL","0.0666189112","0.0266","0","0.0242","0","0","0","0.0012","0","NULL","31300","43100","46600","66800",2
"109","Mesa Community College","Mesa","AZ","85202","NULL","NULL","NULL","0.0092783505","0.0169","0","0.0179","0.0008","0","0","0.0287","0","NULL","38300","43700","42300","60100",2
"110","ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.6875","NULL","NULL","0.3430191354","0.372","0","0.2317","0","0","0","0","0","0.2969","38100","45300","46100","64300",1
"111","ITT Technical Institute-Tempe","Tempe","AZ","85282","0.7426","NULL","NULL","0.3430191354","0.3017","0","0.3388","0","0","0","0","0","0.2833","38100","45300","46100","64300",1
"112","Mohave Community College","Kingman","AZ","86409-1238","NULL","NULL","NULL","0.1352242744","0.0432","0","0.0031","0.0165","0.0031","0","0.001","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","53100",2
"113","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027","NULL","NULL","NULL","0.7157684631","0","0","0","0","0","0","0","0","NULL","31700","38000","40800","55400",2
"114","Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","0.0902777778","0","0","0","0.0335","0","0","0","0","0.1017","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36100",1
"115","Northern Arizona University","Flagstaff","AZ","86011-4092","0.6478","590","25","0.4480796586","0.0029","0.0281","0","0.0469","0.0044","0","0.022","0.0257","0.5178","41800","42900","45100","61900",1
"116","Northland Pioneer College","Holbrook","AZ","86025-0610","NULL","NULL","NULL","PrivacySuppressed","0.0354","0","0.0495","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45500",2
"117","Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.2649294245","0.013","0","0","0.0346","0.013","0","0","0","NULL","39200","46400","45900","68900",1
"118","Phoenix College","Phoenix","AZ","85013","NULL","NULL","NULL","0.0241166573","0.0056","0","0.0052","0","0","0","0.0197","0","NULL","32800","40600","46700","52900",2
"119","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257","NULL","NULL","NULL","0.7391304348","0","0","0","0","0","0","0","0","NULL","25600","30000","31500","46700",3
"120","University of Phoenix-Phoenix-Hohokam Campus","Phoenix","AZ","85040-1958","NULL","NULL","NULL","0.2020970564","0.0577","0","0","0","0","0","0","0","0.191","41600","56700","78400","84700",1
"121","Pima Community College","Tucson","AZ","85709-1275","NULL","NULL","NULL","0.0895319919","0.0118","0.0017","0.0112","0","0","0","0","0.0006","NULL","31900","38300","39700","52700",2
"122","Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.7377810816","0","0","0","0","0","0","0","0","0.7347","26500","33300","36300","50600",1
"123","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110","NULL","NULL","NULL","0.7377810816","0","0","0","0","0","0","0","0","NULL","26500","33300","36300","50600",2
"124","Prescott College","Prescott","AZ","86301","0.8255","630","25","0.204379562","0","0","0","0.0306","0","0","0.0051","0","0.2927","32200","37600","39500","48300",1
"125","Refrigeration School Inc","Phoenix","AZ","85034-1816","NULL","NULL","NULL","0.6863636364","0","0","1","0","0","0","0","0","NULL","34500","40300","PrivacySuppressed","64500",2
"126","Rio Salado College","Tempe","AZ","85281","NULL","NULL","NULL","0.0371257485","0.1099","0","0","0","0","0","0.0013","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","67200",2
"127","Roberto-Venn School of Luthiery","Phoenix","AZ","85007","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"128","Hair Academy of Safford","Safford","AZ","85546","NULL","NULL","NULL","0.4","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"129","Scottsdale Community College","Scottsdale","AZ","85256","NULL","NULL","NULL","0.0111275964","0.0329","0","0.0078","0","0","0","0.0245","0","NULL","37900","42200","49900","61400",2
"130","South Mountain Community College","Phoenix","AZ","85042","NULL","NULL","NULL","PrivacySuppressed","0.043","0","0","0","0","0","0.0473","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48100",2
"131","Arizona Christian University","Phoenix","AZ","85032-7097","0.5666","560","24","0.3307692308","0","0","0","0","0","0","0","0","0.3469","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"132","Tucson College","Tucson","AZ","85711","NULL","NULL","NULL","0.587755102","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36800",3
"133","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323","NULL","NULL","NULL","0.6933264534","0","0","0","0","0","0","0","0","NULL","42000","45600","48400","61500",2
"134","Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.2432950192","0.0674","0","0","0","0","0","0","0","0.0601","44200","57900","74600","69300",1
"135","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051","NULL","NULL","NULL","0.5263157895","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38700",3
"136","Yavapai College","Prescott","AZ","86301","NULL","NULL","NULL","0.2294117647","0.0358","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","54100",2
"137","University of Arkansas at Little Rock","Little Rock","AR","72204","0.9624","NULL","24","0.2176752286","0.0245","0.0166","0.0592","0.0397","0.0036","0","0.0152","0","0.2192","33700","41200","46300","57700",1
"138","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7181818182","0","0","0","0","0","0","0","0","NULL","67800","68800","80000","124200",1
"139","ABC Beauty College Inc","Arkadelphia","AR","71923","NULL","NULL","NULL","0.5227272727","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"140","Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.1323529412","0","0","0","0","0","0","0","0","0.0521","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"141","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","NULL","NULL","NULL","0.3333333333","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"142","Arkansas Beauty College","Russellville","AR","72801","NULL","NULL","NULL","0.4","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","PrivacySuppressed",3
