"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"1","Alabama A & M University","Normal","AL","35762","0.5438","460","18","0.2573705179","0.0301","0.1372","0.0395","0.1015","0.0075","0","0.015","0","0.3222","32900","36100","39000","NULL",1,"0.31243973","0.3108108108","0.6090116279","0.4392059553","0.4398826979","0.4820359281","0.3428571429","0.4707379135","17351","0.2344827586","0.2621082621","0.3407821229"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.7223","640","26","0.4446555819","0.009","0.0578","0","0.0722","0.0159","0","0.0184","0","0.4815","45900","44100","49500","NULL",1,"0.4125386997","0.5519480519","0.8713304185","0.7488986784","0.818507891","0.8124658283","0.6726067136","0.7783916513","20441","0.3869936034","0.4590984975","0.5246478873"
"3","Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.2866666667","0.0095","0","0","0","0","0","0","0","0","PrivacySuppressed","44800","PrivacySuppressed","NULL",1,"0.3636363636","0.5306122449","PrivacySuppressed","0.4860335196","0.6486486486","0.6666666667","0.4539249147","0.6025641026","11420","0.3012048193","PrivacySuppressed","PrivacySuppressed"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","0.7766","640","28","0.3792270531","0.0249","0.2648","0","0.071","0.0175","0","0.0203","0","0.4732","45800","52700","53300","NULL",1,"0.4292307692","0.4801980198","0.8866242038","0.7351778656","0.8413391557","0.8505263158","0.7203065134","0.8067010309","19687","0.3598484848","0.3815028902","0.4048913043"
"5","Alabama State University","Montgomery","AL","36104-0271","0.4604","480","18","0.1845416417","0.0701","0","0","0.0867","0.0295","0","0.0111","0","0.2635","27900","31100","32200","NULL",1,"0.1649196366","0.3414634146","0.4637681159","0.2980810235","0.3969849246","0.3098591549","0.2298989899","0.3668639053","17533","0.1545454545","0.2554216867","0.2077922078"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","0.5308","640","28","0.5043182413","0.0056","0.0745","0","0.035","0.0067","0","0.0107","0","0.6655","45800","48900","50200","NULL",1,"0.5263788969","0.6227506427","0.9058429475","0.7769645609","0.8690629012","0.8586616635","0.7029438002","0.8484848485","23939","0.4161650903","0.5160955348","0.5581120944"
"7","Central Alabama Community College","Alexander City","AL","35010","NULL","NULL","NULL","0.0246609125","0.0237","0","0.0621","0","0","0","0","0","NULL","29300","33900","39800","NULL",2,"PrivacySuppressed","PrivacySuppressed","0.5306122449","0.4058219178","0.7011494253","0.5737704918","0.3995584989","0.6878306878","6726","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"8","Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5117056856","0.0372","0","0","0.0319","0.0266","0","0","0","NULL","38100","44300","44700","NULL",1,"0.5483870968","0.697080292","0.8411843876","0.7516087516","0.8282442748","0.7855530474","0.7039537126","0.8190661479","NULL","0.4444444444","0.5689045936","0.6064516129"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","0.7395","NULL","24","0.2631578947","0","0","0","0.1079","0.0128","0","0.0238","0","0.3004","33900","41100","41200","NULL",1,"0.2682215743","0.4803370787","0.7809694794","0.5788113695","0.7284768212","0.8069666183","0.5675675676","0.7438867439","15594","0.2398119122","0.252173913","0.3373015873"
"10","Auburn University","Auburn","AL","36849","0.7723","650","28","0.3109151047","0.0063","0.1631","0","0.07","0.0077","0","0.0084","0","0.6827","52300","51400","53800","NULL",1,"0.1637860082","0.1924982307","0.8968253968","0.8157349896","0.918799647","PrivacySuppressed","0.8398560504","0.9263157895","22352","0.2787550744","0.2921013413","0.3386727689"
"11","Birmingham Southern College","Birmingham","AL","35254","0.6522","610","27","0.3940520446","0.0029","0.0147","0","0.1059","0.0382","0","0.0412","0","0.6552","PrivacySuppressed","PrivacySuppressed","49900","NULL",1,"0.2183908046","0.1648351648","PrivacySuppressed","0.7190082645","0.9257142857","PrivacySuppressed","0.8508287293","0.8673469388","40957","0.3802816901","0.4096385542","0.3913043478"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869","NULL","NULL","NULL","0.095567867","0.0455","0","0","0","0","0","0","0","NULL","27300","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.0921305182","0.2291666667","0.5319148936","0.4058679707","0.6538461538","0.6181818182","0.4814814815","0.6341463415","6740","0.0752293578","PrivacySuppressed","PrivacySuppressed"
"13","Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","0.0376175549","0","0","0","0","0","0","0","0","0.0912","22800","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.5","PrivacySuppressed","PrivacySuppressed","17730","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"14","South University-Montgomery","Montgomery","AL","36116","0.7397","NULL","NULL","0.1478132193","0.1193","0","0","0","0","0","0","0","0.15","29200","40600","46400","NULL",1,"0.1991805862","0.317695962","0.641984184","0.3199638118","0.5268872802","0.6138107417","0.325244585","0.5098109811","28156","0.1218377088","0.1792717087","0.2855603448"
"15","Enterprise State Community College","Enterprise","AL","36330-1300","NULL","NULL","NULL","0.0177935943","0.0234","0","0.0084","0","0","0","0","0","NULL","27700","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.4606060606","0.7830687831","PrivacySuppressed","0.56875","0.7857142857","9988","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"16","James H Faulkner State Community College","Bay Minette","AL","36507-2698","NULL","NULL","NULL","0.1060044477","0.0197","0","0","0","0","0","0","0","NULL","29000","34600","35300","NULL",2,"0.1003811944","0.1255060729","0.72","0.5052631579","0.6892778993","0.7606382979","0.5587489434","0.7240802676","11195","0.1001164144","0.1238390093","0.1017964072"
"17","Faulkner University","Montgomery","AL","36109-3390","NULL","NULL","NULL","0.256496228","0.0156","0","0","0.0069","0.0052","0","0","0","0.3317","35000","45200","53200","NULL",1,"0.2305630027","0.1582491582","PrivacySuppressed","0.484871407","0.7176684882","0.660130719","0.5132634176","0.75","26908","0.2365887208","0.2721311475","0.3167701863"
"18","Gadsden State Community College","Gadsden","AL","35903","NULL","NULL","NULL","0.1517904864","0.0123","0","0.1183","0","0","0","0","0","NULL","28200","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","11091","0.1395646607","PrivacySuppressed","PrivacySuppressed"
"19","New Beginning College of Cosmetology","Albertville","AL","35951","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"20","George C Wallace State Community College-Dothan","Dothan","AL","36303-9234","NULL","NULL","NULL","0.2024793388","0.0103","0","0.0787","0","0","0","0","0","NULL","29300","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","7878","0.1914893617","PrivacySuppressed","PrivacySuppressed"
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000","NULL","NULL","NULL","0.2465828321","0.0174","0","0.026","0","0","0","0","0","NULL","28800","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.2288732394","0.4106463878","0.7165354331","0.5139701105","0.762745098","0.789346247","0.5843862816","0.8073394495","13603","0.2012635379","0.3100189036","0.3333333333"
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808","NULL","NULL","NULL","PrivacySuppressed","0.0168","0","0.0373","0","0","0","0","0","NULL","27700","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","15257","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"23","Herzing University-Birmingham","Birmingham","AL","35209","0.8222","NULL","NULL","0.2944542254","0.1176","0","0.0802","0","0","0","0","0","0.4386","38500","47600","47700","NULL",1,"0.3018134715","0.458974359","0.7131011609","0.4471871412","0.7238239757","0.6888888889","0.4776727812","0.7202020202","26737","0.251465798","0.3646616541","0.4341463415"
"24","Huntingdon College","Montgomery","AL","36106-2148","0.6054","513","23","0.4846796657","0","0","0","0.0847","0.0202","0","0.0323","0","0.4673","36200","40400","43800","NULL",1,"0.4154929577","0.5234375","0.8367346939","0.6912442396","0.8019323671","0.8860294118","0.7392739274","0.8423076923","30655","0.4850746269","0.44","0.52"
"25","Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21087","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"26","J F Drake State Community and Technical College","Huntsville","AL","35811","NULL","NULL","NULL","0.1091617934","0.122","0","0.1057","0","0","0","0","0","NULL","23500","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","12169","0.099137931","PrivacySuppressed","PrivacySuppressed"
"27","Jacksonville State University","Jacksonville","AL","36265","0.8232","540","24","0.285198556","0.0159","0","0.0191","0.0429","0.0111","0","0.0072","0","0.2857","33600","38300","39900","NULL",1,"0.3338997451","0.3909774436","0.8145240432","0.5625288417","0.7210031348","0.7773406766","0.5968837395","0.7826552463","18748","0.2405322416","0.3015873016","0.3721518987"
"28","Jefferson Davis Community College","Brewton","AL","36426","NULL","NULL","NULL","0.1532663317","0","0","0.0769","0","0","0","0","0","NULL","28100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","9781","0.1467065868","PrivacySuppressed","PrivacySuppressed"
"29","Jefferson State Community College","Birmingham","AL","35215-3098","NULL","NULL","NULL","0.1559734513","0.0665","0","0.0802","0","0","0","0","0","NULL","29500","35400","37500","NULL",2,"0.1071071071","0.2556634304","0.8442622951","0.5944700461","0.758037225","0.8045977011","0.6234132581","0.7754293263","13162","0.1306347746","0.1645833333","0.2531120332"
"30","John C Calhoun State Community College","Tanner","AL","35671","NULL","NULL","NULL","0.1232931727","0.0141","0","0.0843","0","0","0.0056","0","0","NULL","28100","36000","37500","NULL",2,"0.0759837178","0.1439205955","0.7971530249","0.4878378378","0.656167979","0.7229916898","0.4803921569","0.7116104869","9372","0.104505632","0.147385103","0.1800766284"
"31","Judson College","Marion","AL","36756","0.8155","510","23","0.125","0","0","0","0.1429","0","0","0.0357","0","0.3731","PrivacySuppressed","32900","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.7261904762","0.7692307692","PrivacySuppressed","0.7228915663","0.8039215686","26925","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"32","Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717","NULL","NULL","NULL","0.1165344722","0.0399","0","0.1779","0","0","0","0","0","NULL","25300","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","12430","0.1116471399","PrivacySuppressed","PrivacySuppressed"
"33","University of West Alabama","Livingston","AL","35470","0.4856","NULL","23","0.2137834037","0","0","0.0648","0.0567","0.0162","0","0.0121","0","0.3438","33700","39600","41700","NULL",1,"0.3006263048","0.2887323944","0.7337662338","0.4708276798","0.6379310345","0.7090909091","0.4562078922","0.6948228883","16609","0.1721854305","0.2874251497","0.2857142857"
"34","Lurleen B Wallace Community College","Andalusia","AL","36420-1418","NULL","NULL","NULL","0.050955414","0.0149","0","0.0274","0","0","0","0","0","NULL","29100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","13241","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"35","Marion Military Institute","Marion","AL","36756-3207","0.6737","610","26","0.3969849246","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.2567567568","0.4705882353","PrivacySuppressed","0.5131578947","0.6557377049","0.7594936709","0.6120689655","0.8260869565","18120","0.3870967742","0.435483871","0.3636363636"
"36","Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.1675062972","0.045","0","0","0.0991","0.009","0","0.0045","0","0.1534","26200","30400","33300","NULL",1,"0.14604811","0.1931818182","PrivacySuppressed","0.214953271","0.3025210084","0.3208955224","0.1812816189","0.2464788732","20688","0.1559139785","0.1761363636","0.25"
"37","University of Mobile","Mobile","AL","36613-2842","0.8035","690","24","0.4178403756","0.0067","0","0","0.0133","0.0033","0","0","0","0.4266","36000","40000","38600","NULL",1,"0.4663212435","0.4861111111","0.7804154303","0.6756756757","0.8172043011","0.7370030581","0.5893909627","0.7948717949","28778","0.3715846995","0.4838709677","0.4201680672"
"38","University of Montevallo","Montevallo","AL","35115-6000","0.7772","605","24","0.4006622517","0","0","0","0.0353","0.0327","0","0.0025","0","0.4701","34600","36300","37700","NULL",1,"0.5144694534","0.5240384615","0.8646616541","0.6959183673","0.8233618234","0.8309572301","0.7105263158","0.8184357542","18858","0.332046332","0.3898305085","0.5178571429"
"39","Northwest-Shoals Community College","Muscle Shoals","AL","35661","NULL","NULL","NULL","0.0842880524","0.0352","0","0.0405","0","0","0","0","0","NULL","26600","34000","38600","NULL",2,"0.0520581114","0.1014492754","0.7155963303","0.4492415403","0.7346938776","0.7727272727","0.5199335548","0.7699386503","8783","0.0716889429","PrivacySuppressed","PrivacySuppressed"
"40","University of North Alabama","Florence","AL","35632-0001","0.8847","535","23","0.3320950966","0.0011","0","0","0.0319","0.0021","0","0.0255","0","0.3229","36800","40700","41800","NULL",1,"0.3927613941","0.4929971989","0.8404825737","0.6464401294","0.7678062678","0.848143982","0.6637168142","0.813229572","13940","0.2866779089","0.3510895884","0.3882352941"
"41","Northeast Alabama Community College","Rainsville","AL","35986","NULL","NULL","NULL","0.1914708442","0.0222","0","0.0477","0","0","0","0","0","NULL","29200","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.115497076","0.1162790698","0.77","0.573875803","0.7709923664","0.7536945813","0.6089285714","0.7841726619","7650","0.1818181818","PrivacySuppressed","PrivacySuppressed"
"42","Oakwood University","Huntsville","AL","35896","0.3169","500","20","0.1982142857","0.019","0","0","0.1238","0.0286","0","0.0063","0","0.3821","35500","39200","42700","NULL",1,"0.2524271845","0.3622047244","0.6044776119","0.417794971","0.5024390244","0.5931034483","0.3518518519","0.5422222222","33441","0.1711229947","0.2216981132","0.198757764"
"43","Alabama Southern Community College","Monroeville","AL","36460","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1088","0","0","0","0","0","NULL","26400","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","10630","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"44","Prince Institute-Southeast","Elmhurst","IL","60126","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24957","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"45","Reid State Technical College","Evergreen","AL","36401","NULL","NULL","NULL","0.037414966","0.0437","0","0","0","0","0","0","0","NULL","23400","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","9013","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"46","Bishop State Community College","Mobile","AL","36603-5898","NULL","NULL","NULL","0.0821799308","0.012","0","0.0522","0","0","0","0","0","NULL","25300","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","9987","0.0787704131","PrivacySuppressed","PrivacySuppressed"
"47","Samford University","Birmingham","AL","35229-2240","0.7563","630","27","0.6134969325","0.0101","0","0","0.0438","0.0118","0","0.0084","0","0.7143","66000","63100","49200","NULL",1,"0.5733333333","0.6833333333","0.9647696477","0.8785046729","0.9506849315","0.9495412844","0.879245283","0.9248826291","36895","0.5740740741","0.6241134752","0.625"
"48","Selma University","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.4492","NULL","NULL","NULL","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10490","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"49","Shelton State Community College","Tuscaloosa","AL","35405-8522","NULL","NULL","NULL","0.0408450704","0","0","0.0448","0","0","0","0","0","NULL","27400","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","13133","0.0388936906","PrivacySuppressed","PrivacySuppressed"
"50","Snead State Community College","Boaz","AL","35957-0734","NULL","NULL","NULL","0.0518053375","0.0827","0","0.0288","0","0","0","0","0","NULL","26500","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","10645","0.0401606426","PrivacySuppressed","PrivacySuppressed"
"51","University of South Alabama","Mobile","AL","36688-0002","0.8719","580","25","0.3051391863","0.0231","0.0635","0","0.0597","0.0043","0","0.0204","0","0.3683","43100","43800","46200","NULL",1,"0.3392370572","0.4442013129","0.8081063965","0.6305044035","0.7794561934","0.8141689373","0.6493044322","0.782079646","15805","0.2593659942","0.3002610966","0.4089506173"
"52","Spring Hill College","Mobile","AL","36608-1791","0.4743","600","26","0.4290030211","0","0","0","0.1045","0.0112","0","0.0112","0","0.6174","44600","47100","53000","NULL",1,"0.4487179487","0.5759493671","0.9020618557","0.6765957447","0.8716981132","0.8693693694","0.7465753425","0.8703703704","41156","0.3669724771","0.4457831325","0.4676258993"
"53","Southeastern Bible College","Birmingham","AL","35244-2083","1","NULL","17","0.3064516129","0","0","0","0","0","0","0","0","0.3333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.4761904762","0.5333333333","0.75","0.6435643564","0.7111111111","17721","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"54","Stillman College","Tuscaloosa","AL","35401","0.4095","502","19","0.2266112266","0","0","0","0.1778","0","0","0","0","0.2518","25400","30900","34400","NULL",1,"0.2661290323","0.2340425532","0.4148148148","0.3237704918","0.3333333333","0.4","0.2413793103","0.3457943925","25548","0.1949685535","0.3103448276","0.2340425532"
"55","Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2086614173","0.0353","0","0","0.1529","0.0235","0","0.0235","0","0.2529","26500","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","0.4074074074","PrivacySuppressed","PrivacySuppressed","0.3240740741","0.2183098592","0.2926829268","18302","0.1828571429","PrivacySuppressed","PrivacySuppressed"
"56","H Councill Trenholm State Community College","Montgomery","AL","36108-3199","NULL","NULL","NULL","0.0594059406","0.0454","0","0.0691","0","0","0","0","0","NULL","25700","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","10070","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"57","Troy University","Troy","AL","36082-0001","0.6229","NULL","23","0.194954955","0.044","0","0.0035","0.0167","0.0063","0","0.0044","0","0.3445","34700","42300","44300","NULL",1,"0.217634916","0.3054852321","0.7890520694","0.507924669","0.6959364783","0.7087542088","0.4521780303","0.6827292111","16721","0.1626707132","0.218950064","0.2943722944"
"58","Tuskegee University","Tuskegee","AL","36088-1920","0.6451","500","22","0.3894878706","0.0254","0.1215","0","0.1102","0","0","0.0254","0","0.4593","37500","43400","46300","NULL",1,"0.2713178295","0.2804232804","0.7421383648","0.5510204082","0.6046511628","0.6707317073","0.5665083135","0.6452702703","31805","0.377245509","0.4016736402","0.3964497041"
"59","United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.3728813559","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.7090909091","0.6388888889","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","0.3448275862","PrivacySuppressed","PrivacySuppressed"
"60","Bevill State Community College","Jasper","AL","35501","NULL","NULL","NULL","0.172796669","0.0248","0","0.0444","0","0","0","0","0.0287","NULL","27900","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","13965","0.1551577153","PrivacySuppressed","PrivacySuppressed"
"61","University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.2395833333","0.0326","0.0305","0.0641","0.016","0.0047","0","0.0057","0.0088","0.2561","42700","48300","51700","NULL",1,"0.237711523","0.3028455285","0.9098265896","0.7063447501","0.8398087268","0.8941398866","0.6940602116","0.8381351493","14431","0.198919892","0.2652777778","0.2864674868"
"62","Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.5","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10730","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"63","University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.207780725","0.014","0.0851","0.031","0.034","0.007","0","0.024","0.002","0.3093","37300","44200","47100","NULL",1,"0.2262521589","0.278125","0.8685714286","0.6687422167","0.8006589786","0.8516746411","0.6801051709","0.80945758","15568","0.1812865497","0.2284866469","0.231316726"
"64","University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.1705882353","0.0126","0.022","0.0031","0.022","0.0063","0","0","0","0.1079","34300","44000","42900","NULL",1,"0.1960784314","0.2307692308","0.8795180723","0.65625","0.7743362832","0.875","0.6891495601","0.7795275591","14267","0.1518324607","0.1612903226","0.25"
"65","Alaska Pacific University","Anchorage","AK","99508","0.6323","500","25","0.4418604651","0","0","0","0.1613","0","0","0.0108","0","0.5179","PrivacySuppressed","53300","PrivacySuppressed","NULL",1,"0.4246575342","0.4181818182","PrivacySuppressed","0.6764705882","0.8495575221","0.8764044944","PrivacySuppressed","PrivacySuppressed","40883","0.3260869565","0.5111111111","0.5"
"66","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889","0.5745","NULL","NULL","0.6953125","0.0761","0","0.0415","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.8333333333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","0.5540540541","PrivacySuppressed","PrivacySuppressed"
"67","Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.596321394","0.0949","0","0.0333","0","0","0","0","0","0.3357","33000","48100","55900","NULL",1,"0.3630952381","0.4285714286","0.7076271186","0.5212765957","0.7206266319","0.6983783784","0.605358915","0.7120622568","23557","0.5865237366","0.6117647059","0.616"
"68","Prince William Sound Community College","Valdez","AK","99686-0097","NULL","NULL","NULL","0.2395833333","0","0","0.0968","0","0","0","0","0","NULL","42700","48300","51700","NULL",2,"0.237711523","0.3028455285","0.9098265896","0.7063447501","0.8398087268","0.8941398866","0.6940602116","0.8381351493","8700","0.198919892","0.2652777778","0.2864674868"
"69","Alaska Career College","Anchorage","AK","99507-1033","NULL","NULL","NULL","0.6634382567","0","0","0","0","0","0","0","0","NULL","28200","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.7168141593","0.8524590164","0.625","0.5511811024","0.7130044843","0.7189409369","0.6414728682","0.8048780488","NULL","0.613559322","PrivacySuppressed","PrivacySuppressed"
"70","Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.2510129269","0","0","0","0","0","0","0","0","0.3639","28100","PrivacySuppressed","PrivacySuppressed","NULL",1,"0.2931309904","0.4641744548","0.3829138063","0.1957349581","0.3820638821","0.5258799172","0.3436165164","0.5496957404","22400","0.22009908","0.3638644918","0.5306122449"
"71","Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2459415584","0.0667","0","0","0","0","0","0","0","0.3802","25500","33000","38200","NULL",1,"0.2159518435","0.2611940299","0.5213776722","0.3062261753","0.513559322","0.4664561957","0.323839362","0.4995054402","27315","0.2013758599","0.2941176471","0.3914473684"
"72","Empire Beauty School-Paradise Valley","Phoenix","AZ","85032","NULL","NULL","NULL","0.5921052632","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.5555555556","0.5","0.625","0.6391752577","PrivacySuppressed","PrivacySuppressed","NULL","0.5106382979","PrivacySuppressed","PrivacySuppressed"
"73","Empire Beauty School-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.5364583333","0","0","0","0","0","0","0","0","NULL","20000","PrivacySuppressed","PrivacySuppressed","NULL",3,"0.5869565217","0.8018018018","0.4817518248","0.3696145125","0.5","0.6367041199","0.5603864734","0.693877551","NULL","0.5353535354","0.546875","0.5217391304"
"74","Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"75","American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.4167","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21742","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
