"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1",1,"Alabama A & M University","Normal","AL","35762","0.8989","450","18","0.2418456643","0.0348","0.1175","0.0348","0.1026","0.0199",NA,"0.0248",NA,"0.2914","NULL","NULL","NULL","NULL",1
"2",2,"University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.8673","650","26","0.4283935243","0.0099","0.0632",NA,"0.0619","0.0135",NA,"0.0181",NA,"0.5377","NULL","NULL","NULL","NULL",1
"3",3,"Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.2095808383","0.0411",NA,NA,NA,NA,NA,NA,NA,"0.6667","NULL","NULL","NULL","NULL",1
"4",4,"University of Alabama in Huntsville","Huntsville","AL","35899","0.8062","650","28","0.3922902494","0.0273","0.2566",NA,"0.0855","0.0218",NA,"0.0209",NA,"0.4835","NULL","NULL","NULL","NULL",1
"5",5,"Alabama State University","Montgomery","AL","36104-0271","0.5125","480","18","0.1866666667","0.0451",NA,NA,"0.1035","0.0184",NA,"0.015",NA,"0.2517","NULL","NULL","NULL","NULL",1
"6",6,"The University of Alabama","Tuscaloosa","AL","35487-0166","0.5655","640","28","0.5216741405","0.0068","0.064",NA,"0.0348","0.0076",NA,"0.0074",NA,"0.6665","NULL","NULL","NULL","NULL",1
"8",8,"Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5194552529","0.0386",NA,NA,"0.0243","0.0408",NA,"0.0011",NA,"NULL","NULL","NULL","NULL","NULL",1
"9",9,"Auburn University at Montgomery","Montgomery","AL","36117-3596","0.8371","NULL","23","0.2066057625",NA,NA,NA,"0.1032","0.0018",NA,"0.0231",NA,"0.2705","NULL","NULL","NULL","NULL",1
"10",10,"Auburn University","Auburn","AL","36849","0.8274","650","28","0.5300506879","0.0051","0.1491",NA,"0.0769","0.0077",NA,"0.0129",NA,"0.6792","NULL","NULL","NULL","NULL",1
"11",11,"Birmingham Southern College","Birmingham","AL","35254","0.6422","640","27","0.5457627119","0.0033","0.0033",NA,"0.113","0.0365",NA,"0.0399",NA,"0.6192","NULL","NULL","NULL","NULL",1
"13",13,"Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.2115","NULL","NULL","NULL","NULL",1
"14",14,"South University-Montgomery","Montgomery","AL","36116","0.4366","NULL","NULL","0.1091111229","0.0735",NA,NA,NA,NA,NA,NA,NA,"0.0784","NULL","NULL","NULL","NULL",1
"17",17,"Faulkner University","Montgomery","AL","36109-3390","NULL","NULL","NULL","0.2600536193","0.014",NA,NA,"0.0018","0.0035",NA,NA,NA,"0.2287","NULL","NULL","NULL","NULL",1
"23",23,"Herzing University-Birmingham","Birmingham","AL","35209","0.7234","NULL","NULL","0.2366124086","0.1304",NA,"0.0163",NA,NA,NA,NA,NA,"0.1778","NULL","NULL","NULL","NULL",1
"24",24,"Huntingdon College","Montgomery","AL","36106-2148","0.6279","540","23","0.4358208955",NA,NA,NA,"0.0968","0.0046",NA,"0.0276",NA,"0.4319","NULL","NULL","NULL","NULL",1
"25",25,"Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0","NULL","NULL","NULL","NULL",1
"27",27,"Jacksonville State University","Jacksonville","AL","36265","0.8326","540","24","0.3029107055","0.0132",NA,"0.0234","0.0403","0.0103",NA,"0.0051",NA,"0.3083","NULL","NULL","NULL","NULL",1
"31",31,"Judson College","Marion","AL","36756","0.7388","600","23","0.1208791209",NA,NA,NA,"0.0862","0.0172",NA,"0.0172",NA,"0.4051","NULL","NULL","NULL","NULL",1
"33",33,"University of West Alabama","Livingston","AL","35470","0.9957","NULL","22","0.2622036262",NA,NA,"0.0237","0.0373","0.0373",NA,"0.0169",NA,"0.3161","NULL","NULL","NULL","NULL",1
"36",36,"Miles College","Fairfield","AL","35064-2621","NULL","NULL","NULL","0.142228739","0.0588",NA,NA,"0.1444","0.0053",NA,NA,NA,"0.216","NULL","NULL","NULL","NULL",1
"37",37,"University of Mobile","Mobile","AL","36613-2842","0.7125","680","24","0.4059405941","0.0067",NA,NA,"0.0368","0.01",NA,NA,NA,"0.4904","NULL","NULL","NULL","NULL",1
"38",38,"University of Montevallo","Montevallo","AL","35115-6000","0.8729","550","24","0.3741258741",NA,NA,NA,"0.0552","0.0307",NA,"0.0123",NA,"0.4493","NULL","NULL","NULL","NULL",1
"40",40,"University of North Alabama","Florence","AL","35632-0001","0.8092","530","25","0.3267973856","0.0137",NA,NA,"0.0378","0.0011",NA,"0.0137",NA,"0.3216","NULL","NULL","NULL","NULL",1
"42",42,"Oakwood University","Huntsville","AL","35896","0.3435","510","22","0.2782608696","0.0139",NA,NA,"0.2028","0.0194",NA,"0.0083",NA,"0.3632","NULL","NULL","NULL","NULL",1
"47",47,"Samford University","Birmingham","AL","35229-2240","0.7697","610","27","0.6192468619","0.0073",NA,NA,"0.0482","0.0073",NA,"0.0044",NA,"0.692","NULL","NULL","NULL","NULL",1
"48",48,"Selma University","Selma","AL","36701","NULL","NULL","NULL","0.0689655172",NA,NA,NA,NA,NA,NA,NA,NA,"0.2133","NULL","NULL","NULL","NULL",1
"51",51,"University of South Alabama","Mobile","AL","36688-0002","0.8604","565","25","0.3075428941","0.0262","0.0656",NA,"0.0641","0.0096",NA,"0.0252",NA,"0.3342","NULL","NULL","NULL","NULL",1
"52",52,"Spring Hill College","Mobile","AL","36608-1791","0.4627","600","26","0.4",NA,"0.0047",NA,"0.0755","0.0283",NA,"0.0142",NA,"0.5632","NULL","NULL","NULL","NULL",1
"53",53,"Southeastern Bible College","Birmingham","AL","35244-2083","0.9615","NULL","24","0.2168674699",NA,NA,NA,NA,NA,NA,NA,NA,"0.1935","NULL","NULL","NULL","NULL",1
"54",54,"Stillman College","Tuscaloosa","AL","35401","0.43","438","18","0.1895424837",NA,NA,NA,"0.2263","0.0219",NA,NA,NA,"0.2619","NULL","NULL","NULL","NULL",1
"55",55,"Talladega College","Talladega","AL","35160","NULL","NULL","NULL","0.2192982456","0.0256",NA,NA,"0.0897",NA,NA,"0.0128",NA,"0.824","NULL","NULL","NULL","NULL",1
"57",57,"Troy University","Troy","AL","36082-0001","0.6821","NULL","24","0.1963374362","0.0413",NA,"0.003","0.0193","0.0087",NA,"0.0048",NA,"0.3466","NULL","NULL","NULL","NULL",1
"58",58,"Tuskegee University","Tuskegee","AL","36088-1920","0.3511","520","22","0.4089012517","0.0174","0.1512",NA,"0.0698","0.0145",NA,"0.0087",NA,"0.4384","NULL","NULL","NULL","NULL",1
"59",59,"United States Sports Academy","Daphne","AL","36526-7055","NULL","NULL","NULL","0.3378378378",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"61",61,"University of Alaska Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.1952932912","0.0281","0.0396","0.0548","0.0181","0.0062",NA,"0.0072","0.0091","0.2547","NULL","NULL","NULL","NULL",1
"62",62,"Alaska Bible College","Palmer","AK","99645","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"63",63,"University of Alaska Fairbanks","Fairbanks","AK","99775-7500","NULL","NULL","NULL","0.202609363","0.0037","0.0688","0.0456","0.0391","0.0074",NA,"0.026","0.0009","0.309","NULL","NULL","NULL","NULL",1
"64",64,"University of Alaska Southeast","Juneau","AK","99801-8697","NULL","NULL","NULL","0.2517162471","0.0109","0.0109","0.0109","0.0545","0.0027",NA,NA,NA,"0.1389","NULL","NULL","NULL","NULL",1
"65",65,"Alaska Pacific University","Anchorage","AK","99508","0.3745","510","23","0.3421052632",NA,NA,NA,"0.1375",NA,NA,"0.025",NA,"0.3902","NULL","NULL","NULL","NULL",1
"67",67,"Charter College-Anchorage","Anchorage","AK","99508","NULL","NULL","NULL","0.5152625153","0.0828",NA,"0.0622",NA,NA,NA,NA,NA,"0.3534","NULL","NULL","NULL","NULL",1
"70",70,"Everest College-Phoenix","Phoenix","AZ","85021-1641","NULL","NULL","NULL","0.1761918863",NA,NA,NA,NA,NA,NA,NA,NA,"0.3175","NULL","NULL","NULL","NULL",1
"71",71,"Collins College","Phoenix","AZ","85040","NULL","NULL","NULL","0.2608030593","0.0683",NA,NA,NA,NA,NA,NA,NA,"0.3773","NULL","NULL","NULL","NULL",1
"74",74,"Thunderbird School of Global Management","Glendale","AZ","85306-6000","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"75",75,"American Indian College Inc","Phoenix","AZ","85021","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.5","NULL","NULL","NULL","NULL",1
"77",77,"Carrington College-Phoenix","Phoenix","AZ","85051-4063","1","NULL","NULL","0.6865397845",NA,NA,NA,NA,NA,NA,NA,NA,"0.6443","NULL","NULL","NULL","NULL",1
"80",80,"CollegeAmerica-Flagstaff","Flagstaff","AZ","86001","NULL","NULL","NULL","0.466083151","0.0253",NA,NA,NA,NA,NA,NA,NA,"0.4667","NULL","NULL","NULL","NULL",1
"83",83,"Brookline College-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.4836313618",NA,NA,NA,NA,NA,NA,NA,NA,"0.4664","NULL","NULL","NULL","NULL",1
"84",84,"Arizona State University-Tempe","Tempe","AZ","85287","0.8023","650","28","0.533613136","0.0273","0.0669","0.0002","0.0746","0.0111",NA,"0.0091",NA,"0.5947","NULL","NULL","NULL","NULL",1
"86",86,"University of Arizona","Tucson","AZ","85721-0066","0.7692","630","NULL","0.4884854597","0.0123","0.052","0.0097","0.0984","0.0126",NA,"0.0254","0.0038","0.6139","NULL","NULL","NULL","NULL",1
"87",87,"Southwest University of Visual Arts-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.0967741935",NA,NA,NA,NA,NA,NA,NA,NA,"0.8333","NULL","NULL","NULL","NULL",1
"90",90,"Brown Mackie College-Tucson","Tucson","AZ","85712","NULL","NULL","NULL","0.3725579628","0.0717",NA,"0.13",NA,NA,NA,NA,NA,"0.1622","NULL","NULL","NULL","NULL",1
"98",98,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","0.7898","650","29","0.330989011","0.003","0.3576",NA,NA,NA,NA,"0.0727",NA,"0.5915","NULL","NULL","NULL","NULL",1
"99",99,"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"101",101,"Grand Canyon University","Phoenix","AZ","85017","0.548","NULL","NULL","0.1706226145",NA,NA,NA,"0.0205",NA,NA,NA,NA,"0.3036","NULL","NULL","NULL","NULL",1
"102",102,"Anthem College-Phoenix","Phoenix","AZ","85014","NULL","NULL","NULL","0.600277585","0.0058",NA,"0.0073",NA,NA,NA,NA,NA,"0.7996","NULL","NULL","NULL","NULL",1
"107",107,"ITT Technical Institute-Tucson","Tucson","AZ","85704-5829","0.9703","NULL","NULL","0.3599931422","0.3253",NA,"0.3434",NA,NA,NA,NA,NA,"0.2182","NULL","NULL","NULL","NULL",1
"108",108,"ITT Technical Institute-Tempe","Tempe","AZ","85282","0.9796","NULL","NULL","0.3599931422","0.3056",NA,"0.4008",NA,NA,NA,NA,NA,"0.25","NULL","NULL","NULL","NULL",1
"111",111,"Dine College","Tsaile","AZ","86556","NULL","NULL","NULL","0.0662068966",NA,NA,NA,"0.0455",NA,NA,NA,NA,"0.0205","NULL","NULL","NULL","NULL",1
"112",112,"Northern Arizona University","Flagstaff","AZ","86011-4092","0.9137","580","26","0.4530207738","0.0057","0.0384",NA,"0.0566","0.0041",NA,"0.0244","0.0283","0.4924","NULL","NULL","NULL","NULL",1
"114",114,"Ottawa University-Phoenix","Phoenix","AZ","85021","NULL","NULL","NULL","0.3536945813",NA,NA,NA,NA,"0.0101",NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"117",117,"University of Phoenix-Phoenix Campus","Tempe","AZ","85282-2371","NULL","NULL","NULL","0.1818239118","0.063",NA,NA,NA,NA,NA,NA,NA,"0.1568","NULL","NULL","NULL","NULL",1
"119",119,"Pima Medical Institute-Tucson","Tucson","AZ","85716","NULL","NULL","NULL","0.6909453729",NA,NA,NA,NA,NA,NA,NA,NA,"0.6189","NULL","NULL","NULL","NULL",1
"121",121,"Prescott College","Prescott","AZ","86301","0.7293","600","27","0.2671755725",NA,NA,NA,"0.0574",NA,NA,NA,NA,"0.3768","NULL","NULL","NULL","NULL",1
"128",128,"Arizona Christian University","Phoenix","AZ","85032-7097","0.6076","600","26","0.3246753247",NA,NA,NA,"0.0119",NA,NA,NA,NA,"0.4737","NULL","NULL","NULL","NULL",1
"131",131,"Western International University","Tempe","AZ","85282","NULL","NULL","NULL","0.1570743405","0.0509",NA,NA,NA,NA,NA,NA,NA,"0.1883","NULL","NULL","NULL","NULL",1
"134",134,"University of Arkansas at Little Rock","Little Rock","AR","72204","0.5274","480","26","0.2762495157","0.0229","0.0229","0.0353","0.0366","0.0092",NA,"0.0183",NA,"0.2438","NULL","NULL","NULL","NULL",1
"135",135,"University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","NULL","NULL","NULL","0.7603686636",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"137",137,"Arkansas Baptist College","Little Rock","AR","72202-6068","NULL","NULL","NULL","0.1113689095",NA,NA,NA,NA,NA,NA,NA,NA,"0.1588","NULL","NULL","NULL","NULL",1
"140",140,"Lyon College","Batesville","AR","72501","0.5898","610","24","0.3403361345","0.0083",NA,NA,"0.1917","0.0833",NA,"0.0333",NA,"0.4965","NULL","NULL","NULL","NULL",1
"143",143,"University of Arkansas","Fayetteville","AR","72701","0.5858","630","27","0.4671532847","0.0057","0.0929",NA,"0.0463","0.0069",NA,"0.0317",NA,"0.601","NULL","NULL","NULL","NULL",1
"144",144,"University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.277","493","20","0.2270450751","0.0279",NA,"0.066","0.0812","0.0051",NA,"0.0152",NA,"0.2583","NULL","NULL","NULL","NULL",1
"146",146,"Arkansas State University-Main Campus","Jonesboro","AR","72401","0.7551","548","26","0.3559648158","0.0147","0.0348","0.0112","0.0241","0.004",NA,"0.0138",NA,"0.3698","NULL","NULL","NULL","NULL",1
"147",147,"Arkansas Tech University","Russellville","AR","72801-2222","0.8503","520","25","0.3716640502","0.0191","0.026","0.0191","0.01","0.0026",NA,"0.0139",NA,"0.4025","NULL","NULL","NULL","NULL",1
"148",148,"University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1782708493",NA,NA,"0.0826","0.0129","0.0026",NA,"0.0039",NA,"0.2804","NULL","NULL","NULL","NULL",1
"152",152,"University of Central Arkansas","Conway","AR","72035-0001","0.8997","NULL","25","0.3265204387","0.0125",NA,NA,"0.0473","0.0049",NA,"0.0167",NA,"0.4203","NULL","NULL","NULL","NULL",1
"153",153,"Central Baptist College","Conway","AR","72034","0.5407","670","23","0.25",NA,NA,NA,"0.0154",NA,NA,NA,NA,"0.3874","NULL","NULL","NULL","NULL",1
"155",155,"Crowley's Ridge College","Paragould","AR","72450","NULL","NULL","NULL","0.2",NA,NA,NA,NA,NA,NA,NA,NA,"0.2931","NULL","NULL","NULL","NULL",1
"162",162,"Harding University","Searcy","AR","72143","0.7628","620","27","0.5040322581","0.0333","0.0321",NA,"0.0273","0.0048",NA,"0.0059",NA,"0.6219","NULL","NULL","NULL","NULL",1
"163",163,"Henderson State University","Arkadelphia","AR","71999-0001","0.6221","590","24","0.2294557097","0.0123",NA,NA,"0.0389","0.0225",NA,"0.0164",NA,"0.2854","NULL","NULL","NULL","NULL",1
"164",164,"Hendrix College","Conway","AR","72032-3080","0.8039","650","30","0.4559386973","0.0191",NA,NA,"0.1497","0.0191",NA,"0.0987",NA,"0.6959","NULL","NULL","NULL","NULL",1
"167",167,"John Brown University","Siloam Springs","AR","72761","0.6982","640","27","0.5460122699",NA,"0.0385",NA,"0.0363","0.0043",NA,"0.0064",NA,"0.6537","NULL","NULL","NULL","NULL",1
"178",178,"Ouachita Baptist University","Arkadelphia","AR","71998-0001","0.7011","580","27","0.5573248408","0.0034","0.0034",NA,"0.119","0.0102",NA,"0.034",NA,"0.6022","NULL","NULL","NULL","NULL",1
"181",181,"University of the Ozarks","Clarksville","AR","72830","0.6136","550","25","0.3442622951",NA,NA,NA,"0.0571","0.0571",NA,"0.0143",NA,"0.4831","NULL","NULL","NULL","NULL",1
"183",183,"Philander Smith College","Little Rock","AR","72202-3799","NULL","NULL","NULL","0.2983193277","0.0476",NA,NA,"0.1111","0.0476",NA,"0.0317",NA,"0.4462","NULL","NULL","NULL","NULL",1
"193",193,"Williams Baptist College","Walnut Ridge","AR","72476","0.6798","510","24","0.3483146067","0.0089",NA,NA,"0.0714",NA,NA,NA,NA,"0.3985","NULL","NULL","NULL","NULL",1
"195",195,"Southern Arkansas University Main Campus","Magnolia","AR","71753","0.6081","590","24","0.318627451","0.0088",NA,"0.0018","0.0405","0.0106",NA,"0.0335",NA,"0.2973","NULL","NULL","NULL","NULL",1
"198",198,"University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","0.5736","620","24","0.2152811148","0.0406",NA,"0.0398","0.033","0.0008",NA,"0.0069",NA,"0.2291","NULL","NULL","NULL","NULL",1
"199",199,"Academy of Art University","San Francisco","CA","94105","NULL","NULL","NULL","0.1070593735","0.0675",NA,NA,NA,NA,NA,NA,NA,"0.332","NULL","NULL","NULL","NULL",1
"200",200,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034","0.3845","NULL","NULL","0.3599931422","0.3058",NA,"0.2686",NA,NA,NA,NA,NA,"0.4167","NULL","NULL","NULL","NULL",1
"201",201,"Academy of Chinese Culture and Health Sciences","Oakland","CA","94612","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"207",207,"American Baptist Seminary of the West","Berkeley","CA","94704-3029","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"208",208,"American Film Institute Conservatory","Los Angeles","CA","90027-1625","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"211",211,"American Conservatory Theater","San Francisco","CA","94108-5834","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"215",215,"Art Center College of Design","Pasadena","CA","91103","0.8167","NULL","NULL","0.5250737463",NA,NA,NA,NA,NA,NA,NA,NA,"0.6436","NULL","NULL","NULL","NULL",1
"218",218,"Azusa Pacific University","Azusa","CA","91702-7000","0.7985","610","27","0.1744115872","0.0051",NA,NA,"0.0171","0.0057",NA,"0.0032",NA,"0.6486","NULL","NULL","NULL","NULL",1
"222",222,"Bethesda University","Anaheim","CA","92801","0.8321","NULL","NULL","PrivacySuppressed","0.123",NA,NA,NA,NA,NA,NA,NA,"0.7826","NULL","NULL","NULL","NULL",1
"223",223,"Biola University","La Mirada","CA","90639-0001","0.7286","620","27","0.5627659574","0.0055",NA,NA,"0.0341","0.0121",NA,"0.0055",NA,"0.6819","NULL","NULL","NULL","NULL",1
"224",224,"Brooks Institute","Ventura","CA","93001","0.98","NULL","NULL","0.5155279503",NA,NA,NA,NA,NA,NA,NA,NA,"0.3654","NULL","NULL","NULL","NULL",1
"226",226,"Bryan University","Los Angeles","CA","90010","NULL","NULL","NULL","0.0754716981",NA,NA,NA,NA,NA,NA,NA,NA,"0.0638","NULL","NULL","NULL","NULL",1
"228",228,"Phillips Graduate Institute","Chatsworth","CA","91311","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"229",229,"California Institute of Integral Studies","San Francisco","CA","94103","NULL","NULL","NULL","0.7833333333",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"231",231,"California Baptist University","Riverside","CA","92504-3297","0.788","560","24","0.2053494392",NA,"0.056",NA,"0.0226","0.0043",NA,"0.0032",NA,"0.5808","NULL","NULL","NULL","NULL",1
"232",232,"California College of the Arts","San Francisco","CA","94107-2247","0.8157","NULL","NULL","0.5463917526",NA,NA,NA,NA,NA,NA,NA,NA,"0.6183","NULL","NULL","NULL","NULL",1
"233",233,"University of California-Hastings College of Law","San Francisco","CA","94102-4978","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"234",234,"California Institute of Technology","Pasadena","CA","91125","0.1055","800","36","0.5762711864","0.1367","0.4297",NA,"0.1172","0.125",NA,"0.1758",NA,"0.9307","NULL","NULL","NULL","NULL",1
"235",235,"California Lutheran University","Thousand Oaks","CA","91360-2787","0.4802","613","27","0.5851851852","0.0277","0.0166",NA,"0.0693","0.0083",NA,"0.0166",NA,"0.7005","NULL","NULL","NULL","NULL",1
"236",236,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407","0.3123","690","31","0.6466074313","0.0173","0.3388","0.0055","0.0567","0.0142",NA,"0.0145",NA,"0.6972","NULL","NULL","NULL","NULL",1
"237",237,"Alliant International University-San Diego","San Diego","CA","92131","0.4922","NULL","NULL","0.775862069",NA,NA,NA,NA,NA,NA,NA,NA,"NULL","NULL","NULL","NULL","NULL",1
"238",238,"California State University-Bakersfield","Bakersfield","CA","93311-1099","0.6626","520","23","0.3320518981","0.0115","0.0014",NA,"0.0378","0.0169",NA,"0.0311",NA,"0.3946","NULL","NULL","NULL","NULL",1
"239",239,"California State University-Stanislaus","Turlock","CA","95382-0299","0.7215","520","23","0.2955489614","0.0185",NA,NA,"0.0555","0.0123",NA,"0.0148",NA,"0.5198","NULL","NULL","NULL","NULL",1
"240",240,"California State University-San Bernardino","San Bernardino","CA","92407-2397","0.5831","510","22","0.4579820506","0.0134","0.0038",NA,"0.0262","0.0217",NA,"0.0141",NA,"0.4112","NULL","NULL","NULL","NULL",1
"241",241,"California State Polytechnic University-Pomona","Pomona","CA","91768","0.5218","620","27","0.4353007946","0.0211","0.1772","0.0268","0.0491","0.0151",NA,"0.0129",NA,"0.5237","NULL","NULL","NULL","NULL",1
"242",242,"California State University-Chico","Chico","CA","95929-0150","0.7161","570","25","0.5168654174","0.0343","0.0432","0.0418","0.0226","0.0072",NA,"0.0069",NA,"0.5605","NULL","NULL","NULL","NULL",1
"243",243,"California State University-Dominguez Hills","Carson","CA","90747-0005","0.5747","470","20","0.3563981043","0.0141",NA,"0.002","0.0185","0.0113",NA,"0.004",NA,"0.2935","NULL","NULL","NULL","NULL",1
"244",244,"California State University-Fresno","Fresno","CA","93740","0.5815","530","23","0.419876111","0.0024","0.0394","0.0213","0.0273","0.0086",NA,"0.0149",NA,"0.4859","NULL","NULL","NULL","NULL",1
"245",245,"California State University-Fullerton","Fullerton","CA","92831-3599","0.4579","580","25","0.4855616758","0.007","0.0163",NA,"0.0249","0.0064",NA,"0.0059",NA,"0.5347","NULL","NULL","NULL","NULL",1
"246",246,"California State University-East Bay","Hayward","CA","94542","0.6872","520","23","0.4286214136","0.0224","0.0061",NA,"0.0573","0.0053",NA,"0.0053",NA,"0.3808","NULL","NULL","NULL","NULL",1
"247",247,"California State University-Long Beach","Long Beach","CA","90840-0115","0.3082","590","26","0.50419652","0.0067","0.0543","0.0089","0.0366","0.0094",NA,"0.0061",NA,"0.6033","NULL","NULL","NULL","NULL",1
"248",248,"California State University-Los Angeles","Los Angeles","CA","90032","0.6752","510","22","0.3080114078","0.0297","0.0347","0.0081","0.0261","0.0078",NA,"0.0047",NA,"0.3565","NULL","NULL","NULL","NULL",1
"249",249,"California State University-Northridge","Northridge","CA","91330","0.4624","530","23","0.4493502658","0.0167","0.0261","0.0032","0.0347","0.0051",NA,"0.0042",NA,"0.4575","NULL","NULL","NULL","NULL",1
"250",250,"California State University-Sacramento","Sacramento","CA","95819-2694","0.6968","540","24","0.3926140231","0.0091","0.0506","0.0062","0.0355","0.0076",NA,"0.0102",NA,"0.4285","NULL","NULL","NULL","NULL",1
"251",251,"University of California-Berkeley","Berkeley","CA","94720","0.18","770","34","0.540778193","0.0192","0.1173",NA,"0.1168","0.0383",NA,"0.0315",NA,"0.9103","NULL","NULL","NULL","NULL",1
"252",252,"University of California-Davis","Davis","CA","95616-8678","0.4521","680","30","0.7147477361","0.0128","0.0852",NA,"0.1996","0.0138",NA,"0.0207",NA,"0.8133","NULL","NULL","NULL","NULL",1
"253",253,"University of California-Irvine","Irvine","CA","92697","0.4239","670","29","0.7277593678","0.0262","0.0875",NA,"0.1498","0.0131",NA,"0.0327",NA,"0.8585","NULL","NULL","NULL","NULL",1
"254",254,"University of California-Los Angeles","Los Angeles","CA","90095-1405","0.2199","760","33","0.7713244749","0.0156","0.078",NA,"0.1558","0.0416",NA,"0.0213",NA,"0.9031","NULL","NULL","NULL","NULL",1
"255",255,"University of California-Riverside","Riverside","CA","92521","0.62","630","27","0.6259774109","0.008","0.0629",NA,"0.1447","0.0207",NA,"0.0193",NA,"0.6617","NULL","NULL","NULL","NULL",1
"256",256,"University of California-San Diego","La Jolla","CA","92093","0.375","730","33","0.6861213235","0.0334","0.13",NA,"0.1953","0.0221",NA,"0.0501",NA,"0.858","NULL","NULL","NULL","NULL",1
"257",257,"University of California-San Francisco","San Francisco","CA","94143-0244","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"258",258,"University of California-Santa Barbara","Santa Barbara","CA","93106","0.4444","690","30","0.6637351267","0.0153","0.0427",NA,"0.0923","0.0255",NA,"0.036",NA,"0.807","NULL","NULL","NULL","NULL",1
"259",259,"University of California-Santa Cruz","Santa Cruz","CA","95064-1011","0.5991","620","27","0.6869679109","0.0466","0.0255",NA,"0.1634","0.0163",NA,"0.0376",NA,"0.7267","NULL","NULL","NULL","NULL",1
"260",260,"Sofia University","Palo Alto","CA","94303","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"262",262,"California Christian College","Fresno","CA","93727","0.8333","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.25","NULL","NULL","NULL","NULL",1
"263",263,"California College San Diego","San Diego","CA","92111-1009","NULL","NULL","NULL","0.4258872651","0.0907",NA,NA,NA,NA,NA,NA,NA,"0.5845","NULL","NULL","NULL","NULL",1
"266",266,"California Institute of the Arts","Valencia","CA","91355-2397","0.2992","NULL","NULL","0.6553398058",NA,NA,NA,NA,NA,NA,NA,NA,"0.5746","NULL","NULL","NULL","NULL",1
"267",267,"The California Maritime Academy","Vallejo","CA","94590","0.748","610","27","0.4502617801",NA,"0.1149","0.1782",NA,NA,NA,NA,NA,"0.5871","NULL","NULL","NULL","NULL",1
